marker_name,frame,time_s,x_px,y_px,x_m,y_m,confidence
M1,0,0.0000,1160.50,212.50,-0.001473,-0.023386,1.0000
M1,1,0.0167,1159.50,212.50,-0.000886,-0.023405,1.0000
M1,2,0.0333,1160.50,211.50,-0.001492,-0.023973,1.0000
M1,3,0.0500,1159.50,211.50,-0.000905,-0.023992,1.0000
M1,4,0.0667,1158.50,211.50,-0.000318,-0.024010,1.0000
M1,5,0.0833,1158.50,211.50,-0.000318,-0.024010,1.0000
M1,6,0.1000,1158.50,213.50,-0.000281,-0.022836,1.0000
M1,7,0.1167,1158.50,211.50,-0.000318,-0.024010,1.0000
M1,8,0.1333,1158.50,209.50,-0.000355,-0.025185,1.0000
M1,9,0.1500,1158.50,211.50,-0.000318,-0.024010,1.0000
M1,10,0.1667,1158.50,211.50,-0.000318,-0.024010,1.0000
M1,11,0.1833,1157.50,211.50,0.000269,-0.024029,1.0000
M1,12,0.2000,1158.50,211.50,-0.000318,-0.024010,1.0000
M1,13,0.2167,1160.50,209.50,-0.001529,-0.025148,1.0000
M1,14,0.2333,1159.50,209.50,-0.000942,-0.025166,1.0000
M1,15,0.2500,1157.50,211.50,0.000269,-0.024029,1.0000
M1,16,0.2667,1160.50,209.50,-0.001529,-0.025148,1.0000
M1,17,0.2833,1158.50,211.50,-0.000318,-0.024010,1.0000
M1,18,0.3000,1160.50,209.50,-0.001529,-0.025148,1.0000
M1,19,0.3167,1157.50,211.50,0.000269,-0.024029,1.0000
M1,20,0.3333,1160.50,209.50,-0.001529,-0.025148,1.0000
M1,21,0.3500,1161.50,209.50,-0.002116,-0.025129,1.0000
M1,22,0.3667,1158.50,211.50,-0.000318,-0.024010,1.0000
M1,23,0.3833,1160.50,211.50,-0.001492,-0.023973,1.0000
M1,24,0.4000,1162.50,211.50,-0.002666,-0.023937,1.0000
M1,25,0.4167,1162.50,209.50,-0.002703,-0.025111,1.0000
M1,26,0.4333,1163.50,210.50,-0.003271,-0.024505,1.0000
M1,27,0.4500,1163.50,211.50,-0.003253,-0.023918,1.0000
M1,28,0.4667,1164.50,211.50,-0.003840,-0.023900,1.0000
M1,29,0.4833,1164.50,213.50,-0.003803,-0.022726,1.0000
M1,30,0.5000,1163.50,213.50,-0.003216,-0.022744,1.0000
M1,31,0.5167,1164.50,211.50,-0.003840,-0.023900,1.0000
