marker_name,frame,time_s,x_px,y_px,x_m,y_m,confidence
M1,77,1.2833,1069.00,197.00,0.053657,-0.026053,1.0000
M1,78,1.3000,1063.00,197.00,0.057172,-0.026143,1.0000
M1,79,1.3167,1057.00,197.00,0.060687,-0.026233,1.0000
M1,80,1.3333,1051.00,196.00,0.064188,-0.026909,1.0000
M1,81,1.3500,1045.00,196.00,0.067703,-0.026999,1.0000
M1,82,1.3667,1039.00,195.00,0.071203,-0.027675,1.0000
M1,83,1.3833,1033.00,195.00,0.074719,-0.027765,1.0000
M1,84,1.4000,1028.00,194.00,0.077633,-0.028426,1.0000
M1,85,1.4167,1023.00,193.00,0.080547,-0.029087,1.0000
M1,86,1.4333,1017.00,192.00,0.084048,-0.029763,1.0000
M1,87,1.4500,1011.00,191.00,0.087548,-0.030438,1.0000
M1,88,1.4667,1007.00,190.00,0.089877,-0.031084,1.0000
M1,89,1.4833,1001.00,189.00,0.093377,-0.031760,1.0000
M1,90,1.5000,995.00,188.00,0.096877,-0.032436,1.0000
M1,91,1.5167,989.00,187.00,0.100377,-0.033112,1.0000
M1,92,1.5333,983.00,186.00,0.103878,-0.033788,1.0000
M1,93,1.5500,979.00,184.00,0.106191,-0.035020,1.0000
M1,94,1.5667,971.00,183.00,0.110863,-0.035726,1.0000
M1,95,1.5833,965.00,181.00,0.114349,-0.036988,1.0000
M1,96,1.6000,960.00,179.00,0.117248,-0.038234,1.0000
M1,97,1.6167,955.00,177.00,0.120147,-0.039481,1.0000
M1,98,1.6333,950.00,176.00,0.123062,-0.040142,1.0000
M1,99,1.6500,944.00,174.00,0.126547,-0.041404,1.0000
M1,100,1.6667,938.00,172.00,0.130032,-0.042666,1.0000
M1,101,1.6833,932.00,171.00,0.133533,-0.043342,1.0000
M1,102,1.7000,927.00,170.00,0.136447,-0.044002,1.0000
M1,103,1.7167,922.00,168.00,0.139347,-0.045249,1.0000
M1,104,1.7333,916.00,167.00,0.142847,-0.045925,1.0000
M1,105,1.7500,913.00,166.00,0.144590,-0.046556,1.0000
M1,106,1.7667,908.00,165.00,0.147504,-0.047217,1.0000
M1,107,1.7833,902.00,164.00,0.151004,-0.047893,1.0000
M1,108,1.8000,897.00,163.00,0.153919,-0.048554,1.0000
M1,109,1.8167,890.00,163.00,0.158020,-0.048659,1.0000
M1,110,1.8333,885.00,161.00,0.160919,-0.049906,1.0000
M1,111,1.8500,879.00,159.00,0.164405,-0.051167,1.0000
M1,112,1.8667,873.00,158.00,0.167905,-0.051843,1.0000
M1,113,1.8833,868.00,157.00,0.170819,-0.052504,1.0000
M1,114,1.9000,863.00,156.00,0.173734,-0.053165,1.0000
M1,115,1.9167,858.00,154.00,0.176633,-0.054412,1.0000
M1,116,1.9333,853.00,154.00,0.179563,-0.054487,1.0000
M1,117,1.9500,849.00,152.00,0.181876,-0.055719,1.0000
M1,118,1.9667,843.00,152.00,0.185391,-0.055809,1.0000
M1,119,1.9833,838.00,151.00,0.188306,-0.056470,1.0000
M1,120,2.0000,834.00,150.00,0.190634,-0.057116,1.0000
M1,121,2.0167,829.00,148.00,0.193534,-0.058362,1.0000
M1,122,2.0333,825.00,147.00,0.195862,-0.059008,1.0000
M1,123,2.0500,822.00,145.00,0.197590,-0.060225,1.0000
M1,124,2.0667,818.00,143.00,0.199904,-0.061457,1.0000
M1,125,2.0833,813.00,143.00,0.202833,-0.061532,1.0000
M1,126,2.1000,807.00,142.00,0.206333,-0.062208,1.0000
M1,127,2.1167,802.00,142.00,0.209263,-0.062283,1.0000
M1,128,2.1333,799.00,143.00,0.211035,-0.061742,1.0000
M1,129,2.1500,794.00,142.00,0.213950,-0.062403,1.0000
M1,130,2.1667,790.00,143.00,0.216308,-0.061877,1.0000
M1,131,2.1833,785.00,143.00,0.219238,-0.061952,1.0000
M1,132,2.2000,781.00,141.00,0.221551,-0.063184,1.0000
M1,133,2.2167,776.00,141.00,0.224481,-0.063259,1.0000
M1,134,2.2333,771.00,141.00,0.227410,-0.063334,1.0000
M1,135,2.2500,768.00,141.00,0.229168,-0.063379,1.0000
M1,136,2.2667,762.00,141.00,0.232683,-0.063469,1.0000
M1,137,2.2833,757.00,140.00,0.235597,-0.064130,1.0000
M1,138,2.3000,753.00,139.00,0.237926,-0.064776,1.0000
M1,139,2.3167,747.00,138.00,0.241426,-0.065452,1.0000
M1,140,2.3333,743.00,138.00,0.243770,-0.065512,1.0000
M1,141,2.3500,735.00,136.00,0.248427,-0.066804,1.0000
M1,142,2.3667,731.00,137.00,0.250785,-0.066278,1.0000
M1,143,2.3833,727.00,136.00,0.253114,-0.066924,1.0000
M1,144,2.4000,722.00,136.00,0.256043,-0.066999,1.0000
M1,145,2.4167,718.00,135.00,0.258372,-0.067645,1.0000
M1,146,2.4333,713.00,135.00,0.261301,-0.067720,1.0000
M1,147,2.4500,709.00,133.00,0.263615,-0.068951,1.0000
M1,148,2.4667,704.00,133.00,0.266544,-0.069026,1.0000
M1,149,2.4833,699.00,132.00,0.269459,-0.069687,1.0000
M1,150,2.5000,694.00,132.00,0.272388,-0.069762,1.0000
M1,151,2.5167,689.00,132.00,0.275318,-0.069837,1.0000
M1,152,2.5333,684.00,132.00,0.278247,-0.069912,1.0000
M1,153,2.5500,679.00,133.00,0.281191,-0.069401,1.0000
M1,154,2.5667,674.00,132.00,0.284106,-0.070062,1.0000
M2,0,0.0000,785.50,206.00,0.219890,-0.025034,1.0000
M2,1,0.0167,785.50,206.00,0.219890,-0.025034,1.0000
M2,2,0.0333,785.50,207.00,0.219905,-0.024448,1.0000
M2,3,0.0500,785.50,206.00,0.219890,-0.025034,1.0000
M2,4,0.0667,785.50,206.00,0.219890,-0.025034,1.0000
M2,5,0.0833,785.50,206.00,0.219890,-0.025034,1.0000
M2,6,0.1000,785.50,206.00,0.219890,-0.025034,1.0000
M2,7,0.1167,785.50,206.00,0.219890,-0.025034,1.0000
M2,8,0.1333,785.50,206.00,0.219890,-0.025034,1.0000
M2,9,0.1500,785.50,206.00,0.219890,-0.025034,1.0000
M2,10,0.1667,785.50,206.00,0.219890,-0.025034,1.0000
M2,11,0.1833,785.50,206.00,0.219890,-0.025034,1.0000
M2,12,0.2000,785.50,206.00,0.219890,-0.025034,1.0000
M2,13,0.2167,785.50,206.00,0.219890,-0.025034,1.0000
M2,14,0.2333,785.50,206.00,0.219890,-0.025034,1.0000
M2,15,0.2500,785.50,206.00,0.219890,-0.025034,1.0000
M2,16,0.2667,785.50,206.00,0.219890,-0.025034,1.0000
M2,17,0.2833,785.50,206.00,0.219890,-0.025034,1.0000
M2,18,0.3000,785.50,206.00,0.219890,-0.025034,1.0000
M2,19,0.3167,785.50,206.00,0.219890,-0.025034,1.0000
M2,20,0.3333,785.50,206.00,0.219890,-0.025034,1.0000
M2,21,0.3500,785.50,206.00,0.219890,-0.025034,1.0000
M2,22,0.3667,785.50,206.00,0.219890,-0.025034,1.0000
M2,23,0.3833,785.50,206.00,0.219890,-0.025034,1.0000
M2,24,0.4000,785.50,206.00,0.219890,-0.025034,1.0000
M2,25,0.4167,785.50,206.00,0.219890,-0.025034,1.0000
M2,26,0.4333,785.50,206.00,0.219890,-0.025034,1.0000
M2,27,0.4500,785.50,206.00,0.219890,-0.025034,1.0000
M2,28,0.4667,785.50,206.00,0.219890,-0.025034,1.0000
M2,29,0.4833,785.50,206.00,0.219890,-0.025034,1.0000
M2,30,0.5000,785.50,206.00,0.219890,-0.025034,1.0000
M2,31,0.5167,785.50,206.00,0.219890,-0.025034,1.0000
M2,32,0.5333,785.50,206.00,0.219890,-0.025034,1.0000
M2,33,0.5500,785.50,206.00,0.219890,-0.025034,1.0000
