marker_name,frame,time_s,x_px,y_px,x_m,y_m,confidence
M1,0,0.0000,1162.00,205.00,-0.001812,-0.027752,1.0000
M1,1,0.0167,1165.00,204.00,-0.003590,-0.028281,1.0000
M1,2,0.0333,1165.00,205.00,-0.003571,-0.027695,1.0000
M1,3,0.0500,1165.00,205.00,-0.003571,-0.027695,1.0000
M1,4,0.0667,1163.00,206.00,-0.002379,-0.027146,1.0000
M1,5,0.0833,1165.00,206.00,-0.003552,-0.027108,1.0000
M1,6,0.1000,1161.00,206.00,-0.001206,-0.027185,1.0000
M1,7,0.1167,1159.00,205.00,-0.000053,-0.027809,1.0000
M1,8,0.1333,1161.00,203.00,-0.001264,-0.028944,1.0000
M1,9,0.1500,1160.00,204.00,-0.000658,-0.028376,1.0000
M1,10,0.1667,1159.00,205.00,-0.000053,-0.027809,1.0000
M1,11,0.1833,1157.00,206.00,0.001139,-0.027261,1.0000
M1,12,0.2000,1159.00,204.00,-0.000072,-0.028395,1.0000
M1,13,0.2167,1159.00,205.00,-0.000053,-0.027809,1.0000
M1,14,0.2333,1159.00,206.00,-0.000034,-0.027223,1.0000
M1,15,0.2500,1157.00,205.00,0.001120,-0.027847,1.0000
M1,16,0.2667,1159.00,206.00,-0.000034,-0.027223,1.0000
M1,17,0.2833,1158.00,207.00,0.000572,-0.026655,1.0000
M1,18,0.3000,1159.00,207.00,-0.000014,-0.026636,1.0000
M1,19,0.3167,1159.00,208.00,0.000005,-0.026050,1.0000
M1,20,0.3333,1159.00,207.00,-0.000014,-0.026636,1.0000
M1,21,0.3500,1159.00,209.00,0.000024,-0.025464,1.0000
M1,22,0.3667,1159.00,209.00,0.000024,-0.025464,1.0000
M1,23,0.3833,1159.00,209.00,0.000024,-0.025464,1.0000
M1,24,0.4000,1159.00,210.00,0.000043,-0.024877,1.0000
M1,25,0.4167,1159.00,210.00,0.000043,-0.024877,1.0000
M1,26,0.4333,1159.00,209.00,0.000024,-0.025464,1.0000
M1,27,0.4500,1159.00,208.00,0.000005,-0.026050,1.0000
M1,28,0.4667,1157.00,209.00,0.001197,-0.025502,1.0000
M1,29,0.4833,1157.00,209.00,0.001197,-0.025502,1.0000
M1,30,0.5000,1157.00,209.00,0.001197,-0.025502,1.0000
M1,31,0.5167,1155.00,209.00,0.002369,-0.025540,1.0000
M1,32,0.5333,1155.00,208.00,0.002350,-0.026126,1.0000
M1,33,0.5500,1153.00,208.00,0.003523,-0.026164,1.0000
M1,34,0.5667,1155.00,207.00,0.002331,-0.026713,1.0000
M1,35,0.5833,1153.00,207.00,0.003504,-0.026751,1.0000
M1,36,0.6000,1151.00,207.00,0.004677,-0.026789,1.0000
M1,37,0.6167,1149.00,206.00,0.005830,-0.027414,1.0000
M1,38,0.6333,1146.00,206.00,0.007589,-0.027471,1.0000
M1,39,0.6500,1142.00,206.00,0.009935,-0.027547,1.0000
M1,40,0.6667,1139.00,206.00,0.011694,-0.027605,1.0000
