marker_name,frame,time_s,x_px,y_px,x_m,y_m,confidence
M1,0,0.0000,1159.50,206.00,0.001260,-0.023686,1.0000
M1,1,0.0167,1160.50,206.00,0.000674,-0.023668,1.0000
M1,2,0.0333,1160.50,206.00,0.000674,-0.023668,1.0000
M1,3,0.0500,1160.50,206.00,0.000674,-0.023668,1.0000
M1,4,0.0667,1160.50,205.00,0.000657,-0.024254,1.0000
M1,5,0.0833,1160.50,205.00,0.000657,-0.024254,1.0000
M1,6,0.1000,1160.50,205.00,0.000657,-0.024254,1.0000
M1,7,0.1167,1160.50,205.00,0.000657,-0.024254,1.0000
M1,8,0.1333,1160.50,205.00,0.000657,-0.024254,1.0000
M1,9,0.1500,1160.50,205.00,0.000657,-0.024254,1.0000
M1,10,0.1667,1161.50,204.00,0.000053,-0.024822,1.0000
M1,11,0.1833,1160.50,204.00,0.000639,-0.024839,1.0000
M1,12,0.2000,1159.50,205.00,0.001242,-0.024271,1.0000
M1,13,0.2167,1160.50,204.00,0.000639,-0.024839,1.0000
M1,14,0.2333,1160.50,205.00,0.000657,-0.024254,1.0000
M1,15,0.2500,1159.50,204.00,0.001225,-0.024857,1.0000
M1,16,0.2667,1159.50,204.00,0.001225,-0.024857,1.0000
M1,17,0.2833,1159.50,203.00,0.001207,-0.025443,1.0000
M1,18,0.3000,1159.50,204.00,0.001225,-0.024857,1.0000
M1,19,0.3167,1160.50,204.00,0.000639,-0.024839,1.0000
M1,20,0.3333,1160.50,203.00,0.000621,-0.025425,1.0000
M1,21,0.3500,1158.50,204.00,0.001810,-0.024875,1.0000
M1,22,0.3667,1159.50,204.00,0.001225,-0.024857,1.0000
M1,23,0.3833,1160.50,203.00,0.000621,-0.025425,1.0000
M1,24,0.4000,1160.50,202.00,0.000604,-0.026011,1.0000
M1,25,0.4167,1160.50,204.00,0.000639,-0.024839,1.0000
M1,26,0.4333,1159.50,203.00,0.001207,-0.025443,1.0000
M1,27,0.4500,1160.50,203.00,0.000621,-0.025425,1.0000
M1,28,0.4667,1159.50,203.00,0.001207,-0.025443,1.0000
M1,29,0.4833,1159.50,203.00,0.001207,-0.025443,1.0000
M1,30,0.5000,1159.50,203.00,0.001207,-0.025443,1.0000
M1,31,0.5167,1159.50,203.00,0.001207,-0.025443,1.0000
M1,32,0.5333,1159.50,203.00,0.001207,-0.025443,1.0000
M1,33,0.5500,1159.50,203.00,0.001207,-0.025443,1.0000
M1,34,0.5667,1159.50,204.00,0.001225,-0.024857,1.0000
M1,35,0.5833,1159.50,204.00,0.001225,-0.024857,1.0000
M1,36,0.6000,1159.50,204.00,0.001225,-0.024857,1.0000
