marker_name,frame,time_s,x_px,y_px,x_m,y_m,confidence
M1,90,2.9975,534.00,1449.00,0.097872,-0.000536,1.0000
M1,91,3.0308,533.00,1457.00,0.098725,-0.000630,1.0000
M1,92,3.0641,532.00,1462.00,0.099258,-0.000728,1.0000
M1,93,3.0974,533.00,1462.00,0.099257,-0.000622,1.0000
M1,94,3.1307,530.00,1466.00,0.099687,-0.000935,1.0000
M1,95,3.1640,533.00,1470.00,0.100108,-0.000609,1.0000
M1,96,3.1973,533.00,1475.00,0.100640,-0.000601,1.0000
M1,97,3.2306,534.00,1478.00,0.100957,-0.000490,1.0000
M1,98,3.2639,532.00,1479.00,0.101067,-0.000701,1.0000
M1,99,3.2972,529.00,1482.00,0.101391,-0.001015,1.0000
M1,100,3.3305,534.00,1486.00,0.101808,-0.000477,1.0000
M1,101,3.3638,533.00,1490.00,0.102235,-0.000577,1.0000
M1,102,3.3971,531.00,1493.00,0.102558,-0.000785,1.0000
M1,103,3.4304,534.00,1497.00,0.102978,-0.000459,1.0000
M1,104,3.4637,533.00,1502.00,0.103512,-0.000557,1.0000
M1,105,3.4971,535.00,1504.00,0.103722,-0.000341,1.0000
M1,106,3.5304,534.00,1507.00,0.104042,-0.000443,1.0000
M1,107,3.5637,532.00,1510.00,0.104365,-0.000651,1.0000
M1,108,3.5970,534.00,1514.00,0.104787,-0.000432,1.0000
M1,109,3.6303,534.00,1516.00,0.105000,-0.000429,1.0000
M1,110,3.6636,534.00,1518.00,0.105212,-0.000425,1.0000
M1,111,3.6969,533.00,1521.00,0.105533,-0.000527,1.0000
M1,112,3.7302,535.00,1526.00,0.106062,-0.000306,1.0000
M1,113,3.7635,535.00,1526.00,0.106062,-0.000306,1.0000
M1,114,3.7968,534.00,1528.00,0.106276,-0.000409,1.0000
M1,115,3.8301,532.00,1533.00,0.106811,-0.000614,1.0000
M1,116,3.8634,531.00,1536.00,0.107132,-0.000715,1.0000
M1,117,3.8967,534.00,1538.00,0.107340,-0.000393,1.0000
M1,118,3.9300,533.00,1540.00,0.107554,-0.000496,1.0000
M1,119,3.9633,533.00,1542.00,0.107767,-0.000493,1.0000
M1,120,3.9966,532.00,1544.00,0.107981,-0.000596,1.0000
M1,121,4.0299,529.00,1546.00,0.108199,-0.000912,1.0000
M1,122,4.0632,529.00,1547.00,0.108305,-0.000910,1.0000
M1,123,4.0965,529.00,1550.00,0.108625,-0.000906,1.0000
M1,124,4.1299,530.00,1554.00,0.109048,-0.000793,1.0000
M1,125,4.1632,530.00,1554.00,0.109048,-0.000793,1.0000
M1,126,4.1965,528.00,1554.00,0.109052,-0.001006,1.0000
M1,127,4.2298,529.00,1555.00,0.109156,-0.000898,1.0000
M1,128,4.2631,532.00,1560.00,0.109684,-0.000570,1.0000
M1,129,4.2964,531.00,1563.00,0.110004,-0.000672,1.0000
M1,130,4.3297,529.00,1564.00,0.110114,-0.000883,1.0000
M1,131,4.3630,529.00,1566.00,0.110327,-0.000880,1.0000
M1,132,4.3963,529.00,1566.00,0.110327,-0.000880,1.0000
M1,133,4.4296,529.00,1568.00,0.110539,-0.000877,1.0000
M1,134,4.4629,528.00,1571.00,0.110860,-0.000978,1.0000
M1,135,4.4962,529.00,1572.00,0.110965,-0.000870,1.0000
M1,136,4.5295,529.00,1575.00,0.111284,-0.000865,1.0000
M1,137,4.5628,529.00,1573.00,0.111071,-0.000869,1.0000
M1,138,4.5961,529.00,1574.00,0.111178,-0.000867,1.0000
M1,139,4.6294,529.00,1576.00,0.111390,-0.000864,1.0000
M1,140,4.6627,530.00,1581.00,0.111921,-0.000749,1.0000
M1,141,4.6960,531.00,1580.00,0.111813,-0.000644,1.0000
M1,142,4.7294,531.00,1580.00,0.111813,-0.000644,1.0000
M1,143,4.7627,532.00,1581.00,0.111917,-0.000536,1.0000
M1,144,4.7960,529.00,1583.00,0.112135,-0.000852,1.0000
M1,145,4.8293,530.00,1584.00,0.112240,-0.000744,1.0000
M1,146,4.8626,529.00,1584.00,0.112241,-0.000851,1.0000
M1,147,4.8959,530.00,1586.00,0.112453,-0.000741,1.0000
M1,148,4.9292,529.00,1586.00,0.112454,-0.000848,1.0000
M1,149,4.9625,530.00,1585.00,0.112346,-0.000743,1.0000
M1,150,4.9958,530.00,1587.00,0.112559,-0.000740,1.0000
M1,151,5.0291,529.00,1587.00,0.112561,-0.000846,1.0000
M1,152,5.0624,530.00,1588.00,0.112665,-0.000738,1.0000
M1,153,5.0957,530.00,1588.00,0.112665,-0.000738,1.0000
M1,154,5.1290,531.00,1588.00,0.112664,-0.000632,1.0000
M1,155,5.1623,530.00,1589.00,0.112772,-0.000736,1.0000
M1,156,5.1956,532.00,1589.00,0.112768,-0.000524,1.0000
M1,157,5.2289,530.00,1590.00,0.112878,-0.000735,1.0000
M1,158,5.2622,530.00,1590.00,0.112878,-0.000735,1.0000
M1,159,5.2955,530.00,1590.00,0.112878,-0.000735,1.0000
M1,160,5.3288,529.00,1590.00,0.112880,-0.000841,1.0000
M1,161,5.3622,532.00,1590.00,0.112875,-0.000522,1.0000
M1,162,5.3955,532.00,1591.00,0.112981,-0.000520,1.0000
M1,163,5.4288,529.00,1591.00,0.112986,-0.000840,1.0000
M1,164,5.4621,529.00,1591.00,0.112986,-0.000840,1.0000
M1,165,5.4954,532.00,1591.00,0.112981,-0.000520,1.0000
M1,166,5.5287,529.00,1593.00,0.113199,-0.000836,1.0000
M1,167,5.5620,531.00,1591.00,0.112983,-0.000627,1.0000
M1,168,5.5953,530.00,1590.00,0.112878,-0.000735,1.0000
M1,169,5.6286,529.00,1590.00,0.112880,-0.000841,1.0000
M1,170,5.6619,531.00,1590.00,0.112876,-0.000628,1.0000
M1,171,5.6952,530.00,1589.00,0.112772,-0.000736,1.0000
M1,172,5.7285,532.00,1589.00,0.112768,-0.000524,1.0000
M1,173,5.7618,532.00,1589.00,0.112768,-0.000524,1.0000
M1,174,5.7951,532.00,1589.00,0.112768,-0.000524,1.0000
M1,175,5.8284,532.00,1588.00,0.112662,-0.000525,1.0000
M1,176,5.8617,533.00,1587.00,0.112554,-0.000420,1.0000
M1,177,5.8950,534.00,1587.00,0.112553,-0.000314,1.0000
M1,178,5.9283,533.00,1586.00,0.112448,-0.000422,1.0000
M1,179,5.9616,533.00,1585.00,0.112341,-0.000424,1.0000
M1,180,5.9950,532.00,1585.00,0.112343,-0.000530,1.0000
M1,181,6.0283,531.00,1584.00,0.112238,-0.000638,1.0000
M1,182,6.0616,530.00,1584.00,0.112240,-0.000744,1.0000
M1,183,6.0949,530.00,1584.00,0.112240,-0.000744,1.0000
M1,184,6.1282,532.00,1582.00,0.112024,-0.000535,1.0000
M1,185,6.1615,533.00,1583.00,0.112129,-0.000427,1.0000
M1,186,6.1948,532.00,1581.00,0.111917,-0.000536,1.0000
M1,187,6.2281,533.00,1580.00,0.111809,-0.000432,1.0000
M1,188,6.2614,533.00,1577.00,0.111490,-0.000437,1.0000
M1,189,6.2947,534.00,1576.00,0.111382,-0.000332,1.0000
M1,190,6.3280,532.00,1576.00,0.111386,-0.000545,1.0000
M1,191,6.3613,533.00,1576.00,0.111384,-0.000438,1.0000
M1,192,6.3946,531.00,1574.00,0.111174,-0.000654,1.0000
M1,193,6.4279,531.00,1571.00,0.110855,-0.000659,1.0000
M1,194,6.4612,531.00,1570.00,0.110749,-0.000661,1.0000
M1,195,6.4945,531.00,1570.00,0.110749,-0.000661,1.0000
M1,196,6.5278,531.00,1568.00,0.110536,-0.000664,1.0000
M1,197,6.5611,534.00,1568.00,0.110531,-0.000345,1.0000
M1,198,6.5944,532.00,1564.00,0.110109,-0.000564,1.0000
M1,199,6.6278,532.00,1562.00,0.109896,-0.000567,1.0000
M1,200,6.6611,533.00,1562.00,0.109895,-0.000461,1.0000
M1,201,6.6944,532.00,1562.00,0.109896,-0.000567,1.0000
M1,202,6.7277,532.00,1562.00,0.109896,-0.000567,1.0000
M1,203,6.7610,533.00,1557.00,0.109363,-0.000469,1.0000
M1,204,6.7943,534.00,1554.00,0.109042,-0.000367,1.0000
M1,205,6.8276,534.00,1553.00,0.108936,-0.000369,1.0000
M1,206,6.8609,534.00,1552.00,0.108829,-0.000370,1.0000
M1,207,6.8942,533.00,1550.00,0.108618,-0.000480,1.0000
M1,208,6.9275,536.00,1548.00,0.108401,-0.000164,1.0000
M1,209,6.9608,533.00,1545.00,0.108086,-0.000488,1.0000
M1,210,6.9941,534.00,1542.00,0.107765,-0.000387,1.0000
M1,211,7.0274,536.00,1542.00,0.107762,-0.000174,1.0000
