marker_name,frame,time_s,x_px,y_px,x_m,y_m,confidence
M1,90,2.3893,536.00,1266.00,0.117070,-0.001158,1.0000
M1,91,2.4159,536.00,1266.00,0.117070,-0.001158,1.0000
M1,92,2.4424,536.00,1267.00,0.117217,-0.001161,1.0000
M1,93,2.4690,536.00,1268.00,0.117363,-0.001164,1.0000
M1,94,2.4955,536.00,1269.00,0.117510,-0.001167,1.0000
M1,95,2.5221,536.00,1271.00,0.117803,-0.001173,1.0000
M1,96,2.5486,537.00,1271.00,0.117806,-0.001027,1.0000
M1,97,2.5752,537.00,1273.00,0.118100,-0.001033,1.0000
M1,98,2.6017,538.00,1277.00,0.118689,-0.000899,1.0000
M1,99,2.6283,538.00,1278.00,0.118836,-0.000902,1.0000
M1,100,2.6548,539.00,1283.00,0.119572,-0.000771,1.0000
M1,101,2.6813,539.00,1289.00,0.120451,-0.000790,1.0000
M1,102,2.7079,540.00,1294.00,0.121187,-0.000659,1.0000
M1,103,2.7344,540.00,1296.00,0.121480,-0.000665,1.0000
M1,104,2.7610,541.00,1300.00,0.122070,-0.000531,1.0000
M1,105,2.7875,542.00,1300.00,0.122073,-0.000384,1.0000
M1,106,2.8141,542.00,1300.00,0.122073,-0.000384,1.0000
M1,107,2.8406,542.00,1299.00,0.121926,-0.000381,1.0000
M1,108,2.8672,542.00,1300.00,0.122073,-0.000384,1.0000
M1,109,2.8937,542.00,1300.00,0.122073,-0.000384,1.0000
M1,110,2.9203,542.00,1303.00,0.122513,-0.000394,1.0000
M1,111,2.9468,542.00,1305.00,0.122806,-0.000400,1.0000
M1,112,2.9734,542.00,1311.00,0.123685,-0.000419,1.0000
M1,113,2.9999,543.00,1319.00,0.124861,-0.000297,1.0000
M1,114,3.0265,543.00,1319.00,0.124861,-0.000297,1.0000
M1,115,3.0530,543.00,1322.00,0.125301,-0.000307,1.0000
M1,116,3.0796,544.00,1323.00,0.125451,-0.000163,1.0000
M1,117,3.1061,543.00,1323.00,0.125447,-0.000310,1.0000
M1,118,3.1327,543.00,1324.00,0.125594,-0.000313,1.0000
M1,119,3.1592,543.00,1325.00,0.125741,-0.000316,1.0000
M1,120,3.1858,541.00,1330.00,0.126467,-0.000625,1.0000
M1,121,3.2123,542.00,1333.00,0.126910,-0.000488,1.0000
M1,122,3.2389,541.00,1337.00,0.127493,-0.000647,1.0000
M1,123,3.2654,541.00,1341.00,0.128080,-0.000659,1.0000
M1,124,3.2920,541.00,1343.00,0.128373,-0.000665,1.0000
M1,125,3.3185,541.00,1341.00,0.128080,-0.000659,1.0000
M1,126,3.3450,541.00,1341.00,0.128080,-0.000659,1.0000
M1,127,3.3716,541.00,1341.00,0.128080,-0.000659,1.0000
M1,128,3.3981,540.00,1343.00,0.128370,-0.000812,1.0000
M1,129,3.4247,539.00,1348.00,0.129100,-0.000974,1.0000
M1,130,3.4512,540.00,1352.00,0.129689,-0.000840,1.0000
M1,131,3.4778,540.00,1359.00,0.130715,-0.000862,1.0000
M1,132,3.5043,540.00,1366.00,0.131741,-0.000884,1.0000
M1,133,3.5309,539.00,1367.00,0.131885,-0.001034,1.0000
M1,134,3.5574,539.00,1369.00,0.132178,-0.001040,1.0000
M1,135,3.5840,539.00,1371.00,0.132471,-0.001046,1.0000
M1,136,3.6105,539.00,1371.00,0.132471,-0.001046,1.0000
M1,137,3.6371,539.00,1373.00,0.132764,-0.001052,1.0000
M1,138,3.6636,539.00,1375.00,0.133057,-0.001059,1.0000
M1,139,3.6902,539.00,1377.00,0.133351,-0.001065,1.0000
M1,140,3.7167,540.00,1380.00,0.133793,-0.000928,1.0000
M1,141,3.7433,539.00,1386.00,0.134670,-0.001093,1.0000
M1,142,3.7698,540.00,1387.00,0.134820,-0.000949,1.0000
M1,143,3.7964,540.00,1391.00,0.135406,-0.000962,1.0000
M1,144,3.8229,540.00,1392.00,0.135552,-0.000965,1.0000
M1,145,3.8495,539.00,1395.00,0.135989,-0.001121,1.0000
M1,146,3.8760,541.00,1398.00,0.136435,-0.000837,1.0000
M1,147,3.9026,541.00,1400.00,0.136728,-0.000844,1.0000
M1,148,3.9291,541.00,1403.00,0.137168,-0.000853,1.0000
M1,149,3.9556,541.00,1407.00,0.137754,-0.000865,1.0000
M1,150,3.9822,541.00,1408.00,0.137901,-0.000869,1.0000
M1,151,4.0087,542.00,1411.00,0.138344,-0.000731,1.0000
M1,152,4.0353,542.00,1411.00,0.138344,-0.000731,1.0000
M1,153,4.0618,542.00,1412.00,0.138490,-0.000734,1.0000
M1,154,4.0884,542.00,1414.00,0.138784,-0.000741,1.0000
M1,155,4.1149,543.00,1417.00,0.139226,-0.000603,1.0000
M1,156,4.1415,543.00,1419.00,0.139520,-0.000610,1.0000
M1,157,4.1680,544.00,1423.00,0.140109,-0.000476,1.0000
M1,158,4.1946,544.00,1425.00,0.140402,-0.000482,1.0000
M1,159,4.2211,544.00,1429.00,0.140989,-0.000494,1.0000
M1,160,4.2477,544.00,1431.00,0.141282,-0.000501,1.0000
M1,161,4.2742,544.00,1432.00,0.141428,-0.000504,1.0000
M1,162,4.3008,545.00,1433.00,0.141578,-0.000360,1.0000
M1,163,4.3273,545.00,1434.00,0.141725,-0.000363,1.0000
M1,164,4.3539,545.00,1434.00,0.141725,-0.000363,1.0000
M1,165,4.3804,545.00,1435.00,0.141871,-0.000367,1.0000
M1,166,4.4070,545.00,1435.00,0.141871,-0.000367,1.0000
M1,167,4.4335,545.00,1438.00,0.142311,-0.000376,1.0000
M1,168,4.4601,545.00,1440.00,0.142604,-0.000382,1.0000
M1,169,4.4866,546.00,1443.00,0.143047,-0.000245,1.0000
M1,170,4.5132,546.00,1445.00,0.143340,-0.000251,1.0000
M1,171,4.5397,546.00,1447.00,0.143633,-0.000258,1.0000
M1,172,4.5663,546.00,1449.00,0.143926,-0.000264,1.0000
M1,173,4.5928,546.00,1451.00,0.144220,-0.000270,1.0000
M1,174,4.6193,546.00,1452.00,0.144366,-0.000273,1.0000
M1,175,4.6459,546.00,1451.00,0.144220,-0.000270,1.0000
M1,176,4.6724,546.00,1452.00,0.144366,-0.000273,1.0000
M1,177,4.6990,546.00,1451.00,0.144220,-0.000270,1.0000
M1,178,4.7255,546.00,1451.00,0.144220,-0.000270,1.0000
M1,179,4.7521,546.00,1452.00,0.144366,-0.000273,1.0000
M1,180,4.7786,546.00,1457.00,0.145099,-0.000289,1.0000
M1,181,4.8052,544.00,1463.00,0.145972,-0.000601,1.0000
M1,182,4.8317,545.00,1466.00,0.146415,-0.000463,1.0000
M1,183,4.8583,546.00,1471.00,0.147151,-0.000333,1.0000
M1,184,4.8848,546.00,1471.00,0.147151,-0.000333,1.0000
M1,185,4.9114,546.00,1472.00,0.147298,-0.000336,1.0000
M1,186,4.9379,546.00,1472.00,0.147298,-0.000336,1.0000
M1,187,4.9645,546.00,1471.00,0.147151,-0.000333,1.0000
M1,188,4.9910,545.00,1472.00,0.147295,-0.000482,1.0000
M1,189,5.0176,544.00,1475.00,0.147731,-0.000638,1.0000
M1,190,5.0441,545.00,1478.00,0.148174,-0.000501,1.0000
M1,191,5.0707,545.00,1482.00,0.148761,-0.000513,1.0000
M1,192,5.0972,545.00,1485.00,0.149200,-0.000523,1.0000
M1,193,5.1238,545.00,1486.00,0.149347,-0.000526,1.0000
M1,194,5.1503,544.00,1485.00,0.149197,-0.000669,1.0000
