time_us,time_ms,angle,vel,vbat,set_volts
1118,1.118,0.0,0.174957275390625,7.99139404296875,-4.0
1926,1.926,-0.0015337467193603516,-0.5405426025390625,7.99139404296875,-4.0
2924,2.924,-0.07899999618530273,-27.613204956054688,7.8741302490234375,-4.0
3881,3.881,-0.24016380310058594,-74.94583129882812,7.354339599609375,-4.0
4858,4.858,-0.47543811798095703,-132.1980438232422,6.8897857666015625,-4.0
5805,5.805,-0.7689077854156494,-189.50001525878906,6.793121337890625,-4.0
6806,6.806,-1.1372549533843994,-253.33741760253906,6.77117919921875,-4.0
7811,7.811,-1.5448143482208252,-308.47149658203125,6.81341552734375,-4.0
8805,8.805,-2.003666400909424,-361.63958740234375,6.8778533935546875,-4.0
9752,9.752,-2.503073215484619,-361.63958740234375,6.952362060546875,-4.0
10820,10.82,-3.040158271789551,-456.10723876953125,7.0373077392578125,-4.0
11797,11.797,-3.6079230308532715,-495.281005859375,7.1160888671875,-4.0
12821,12.821,-4.202052593231201,-530.9967041015625,7.183441162109375,-4.0
13833,13.833,-4.828492164611816,-564.5098876953125,7.2488250732421875,-4.0
14791,14.791,-5.4737229347229,-594.310791015625,7.308380126953125,-4.0
15810,15.81,-6.142538070678711,-620.4825439453125,7.360504150390625,-4.0
16820,16.82,-6.8207502365112305,-641.6052856445312,7.4095458984375,-4.0
17757,17.757,-7.516506195068359,-641.6052856445312,7.4525909423828125,-4.0
18697,18.697,-8.224437713623047,-677.44482421875,7.4883880615234375,-4.0
19697,19.697,-8.939656257629395,-677.44482421875,7.51849365234375,-4.0
20694,20.694,-9.658135414123535,-691.0791625976562,7.5391082763671875,-4.0
21708,21.708,-10.39099407196045,-712.4810791015625,7.5562896728515625,-4.0
22697,22.697,-11.142644882202148,-712.4810791015625,7.5771636962890625,-4.0
23622,23.622,-11.894679069519043,-725.86474609375,7.599578857421875,-4.0
24579,24.579,-11.894679069519043,-735.8540649414062,7.612762451171875,-4.0
25489,25.489,-12.645370483398438,-741.3478393554688,7.614837646484375,-4.0
26516,26.516,-13.395008087158203,-743.8291015625,7.61627197265625,-4.0
27470,27.47,-14.15662956237793,-750.80615234375,7.6273345947265625,-4.0
28316,28.316,-14.916524887084961,-754.1884155273438,7.637176513671875,-4.0
29230,29.23,-15.679679870605469,-757.1737060546875,7.642669677734375,-4.0
30130,30.13,-16.448972702026367,-761.534423828125,7.6527252197265625,-4.0
31004,31.004,-17.221139907836914,-765.1801147460938,7.6560821533203125,-4.0
31955,31.955,-17.994457244873047,-768.0502319335938,7.65032958984375,-4.0
32937,32.937,-18.77324104309082,-772.1959228515625,7.649200439453125,-4.0
33905,33.905,-19.54214859008789,-771.1663818359375,7.6483306884765625,-4.0
34930,34.93,-20.317575454711914,-772.3681030273438,7.6483306884765625,-4.0
35884,35.884,-21.093578338623047,-774.2332153320312,7.6542510986328125,-4.0
36859,36.859,-21.872936248779297,-775.569091796875,7.6599578857421875,-4.0
37803,37.803,-22.649898529052734,-776.1768798828125,7.6632232666015625,-4.0
38802,38.802,-23.42753028869629,-776.1091918945312,7.6720428466796875,-4.0
39765,39.765,-24.20698356628418,-777.0853881835938,7.6696624755859375,-4.0
40771,40.771,-24.992094039916992,-780.0516357421875,7.6610260009765625,-4.0
41790,41.79,-25.765892028808594,-777.5164794921875,7.6596221923828125,-4.0
42852,42.852,-26.55196189880371,-780.9296264648438,7.6573944091796875,-4.0
43877,43.877,-27.336400985717773,-781.3455200195312,7.665374755859375,-4.0
44816,44.816,-28.12122344970703,-782.43408203125,7.6768798828125,-4.0
45764,45.764,-28.904129028320312,-782.958251953125,7.6766357421875,-4.0
46715,46.715,-29.68876075744629,-783.191650390625,7.6808929443359375,-4.0
47650,47.65,-30.474445343017578,-783.8236083984375,7.680816650390625,-4.0
48646,48.646,-31.269046783447266,-783.8236083984375,7.672088623046875,-4.0
49676,49.676,-32.05061340332031,-785.96337890625,7.670928955078125,-4.0
50639,50.639,-32.852596282958984,-785.96337890625,7.6721954345703125,-4.0
51611,51.611,-33.659950256347656,-791.0189208984375,7.688018798828125,-4.0
52610,52.61,-34.45905685424805,-796.6901245117188,7.7166595458984375,-4.0
53606,53.606,-35.25883865356445,-798.0906372070312,7.7232208251953125,-4.0
54581,54.581,-36.061302185058594,-798.1104736328125,7.723480224609375,-4.0
55518,55.518,-36.865970611572266,-799.3102416992188,7.7218170166015625,-4.0
56470,56.47,-37.68080139160156,-801.1226806640625,7.7156219482421875,-4.0
57457,57.457,-38.486427307128906,-806.3763427734375,7.7197265625,-4.0
58465,58.465,-38.486427307128906,-806.1431884765625,7.7263031005859375,-4.0
59435,59.435,-39.311134338378906,-812.4405517578125,7.7428741455078125,-4.0
60436,60.436,-40.14303207397461,-820.2520751953125,7.7743377685546875,-4.0
61256,61.256,-40.971092224121094,-822.8043212890625,7.7931060791015625,-4.0
62145,62.145,-41.79618453979492,-823.5510864257812,7.7931060791015625,-4.0
63038,63.038,-42.621849060058594,-824.763916015625,7.78057861328125,-4.0
63890,63.89,-43.447418212890625,-825.4097900390625,7.7679290771484375,-4.0
64859,64.859,-44.28487777709961,-829.3824462890625,7.7679290771484375,-4.0
65832,65.832,-45.11811447143555,-830.763427734375,7.7808074951171875,-4.0
66806,66.806,-45.9631462097168,-835.8601684570312,7.7964630126953125,-4.0
67781,67.781,-46.81901168823242,-843.3213500976562,7.80657958984375,-4.0
68766,68.766,-47.67631530761719,-847.86279296875,7.833221435546875,-4.0
69731,69.731,-48.52748489379883,-848.8721313476562,7.85784912109375,-4.0
