time_us,time_ms,angle,vel,vbat,set_volts
1126,1.126,0.2352743148803711,-0.387054443359375,8.011962890625,-2.0
1927,1.927,0.2352743148803711,-0.2887725830078125,8.013900756835938,-2.0
2774,2.774,0.2186880111694336,-5.655609130859375,7.881683349609375,-2.0
3681,3.681,0.12779974937438965,-35.969085693359375,7.679962158203125,-2.0
4611,4.611,-0.004506111145019531,-70.32566833496094,7.679962158203125,-2.0
5556,5.556,-0.18647456169128418,-110.2738037109375,7.6002197265625,-2.0
6495,6.495,-0.40976476669311523,-150.5393829345703,7.5963592529296875,-2.0
7457,7.457,-0.6643097400665283,-187.3840789794922,7.6207427978515625,-2.0
8433,8.433,-0.9427270889282227,-220.32298278808594,7.660614013671875,-2.0
9423,9.423,-1.247126579284668,-249.6260528564453,7.6949615478515625,-2.0
10503,10.503,-1.5717554092407227,-276.51953125,7.726043701171875,-2.0
11451,11.451,-1.915174961090088,-300.21588134765625,7.7621002197265625,-2.0
12432,12.432,-2.2656898498535156,-318.93975830078125,7.791900634765625,-2.0
13408,13.408,-2.630873203277588,-335.0731201171875,7.816314697265625,-2.0
14398,14.398,-3.0013294219970703,-347.1961669921875,7.833465576171875,-2.0
15397,15.397,-3.37715482711792,-357.9253234863281,7.84765625,-2.0
16392,16.392,-3.756239891052246,-365.4747314453125,7.859222412109375,-2.0
17392,17.392,-4.142035961151123,-372.9210510253906,7.865386962890625,-2.0
18386,18.386,-4.524476528167725,-376.3179626464844,7.869232177734375,-2.0
19385,19.385,-4.914299488067627,-381.0980224609375,7.8762969970703125,-2.0
20413,20.413,-5.309203624725342,-385.6387939453125,7.885772705078125,-2.0
21408,21.408,-5.703052997589111,-388.61590576171875,7.8928070068359375,-2.0
22370,22.37,-6.099299907684326,-391.3765869140625,7.8987884521484375,-2.0
23321,23.321,-6.4987101554870605,-394.2562255859375,7.9005126953125,-2.0
24290,24.29,-6.894669055938721,-394.82513427734375,7.90447998046875,-2.0
25290,25.29,-7.297050952911377,-394.82513427734375,7.9094085693359375,-2.0
26259,26.259,-7.6922430992126465,-398.099609375,7.910064697265625,-2.0
27228,27.228,-8.090599060058594,-396.5235595703125,7.9091949462890625,-2.0
28230,28.23,-8.485694885253906,-397.75811767578125,7.908416748046875,-2.0
29224,29.224,-8.88376235961914,-396.33172607421875,7.9079437255859375,-2.0
30234,30.234,-9.280008316040039,-397.11163330078125,7.9073638916015625,-2.0
31252,31.252,-9.680089950561523,-396.92584228515625,7.91046142578125,-2.0
32184,32.184,-10.079692840576172,-397.9380798339844,7.9195709228515625,-2.0
33121,33.121,-10.079692840576172,-398.9393005371094,7.9197235107421875,-2.0
34000,34.0,-10.48562240600586,-400.98541259765625,7.9138946533203125,-2.0
34802,34.802,-10.883882522583008,-399.9581298828125,7.9133453369140625,-2.0
35683,35.683,-11.290769577026367,-402.53570556640625,7.9137420654296875,-2.0
36541,36.541,-11.700725555419922,-404.73162841796875,7.9137420654296875,-2.0
37478,37.478,-12.106369018554688,-405.62353515625,7.916748046875,-2.0
38437,38.437,-12.516036987304688,-407.1678466796875,7.9210968017578125,-2.0
39405,39.405,-12.929157257080078,-409.3673095703125,7.9231109619140625,-2.0
40362,40.362,-13.348222732543945,-412.217041015625,7.9288330078125,-2.0
41338,41.338,-13.76795768737793,-415.5517578125,7.937835693359375,-2.0
42331,42.331,-14.18807601928711,-416.6961669921875,7.9384613037109375,-2.0
43277,43.277,-14.611551284790039,-419.2110595703125,7.9385528564453125,-2.0
44276,44.276,-15.03445053100586,-420.40631103515625,7.9470062255859375,-2.0
45276,45.276,-15.460514068603516,-422.40509033203125,7.9521026611328125,-2.0
46302,46.302,-15.888782501220703,-425.0447998046875,7.951202392578125,-2.0
47265,47.265,-16.319446563720703,-426.46258544921875,7.9522705078125,-2.0
48265,48.265,-16.754905700683594,-429.7017517089844,7.9551849365234375,-2.0
49288,49.288,-17.185762405395508,-430.1003112792969,7.9560394287109375,-2.0
50239,50.239,-17.623714447021484,-433.5008544921875,7.95953369140625,-2.0
51221,51.221,-18.065404891967773,-436.0692138671875,7.96368408203125,-2.0
52214,52.214,-18.50354766845703,-436.0692138671875,7.9679412841796875,-2.0
53160,53.16,-18.94581413269043,-436.931884765625,7.972869873046875,-2.0
54162,54.162,-19.385683059692383,-438.8231201171875,7.976043701171875,-2.0
55119,55.119,-19.8326473236084,-438.99566650390625,7.978851318359375,-2.0
56094,56.094,-20.269351959228516,-441.80047607421875,7.9773712158203125,-2.0
57063,57.063,-20.269351959228516,-439.95050048828125,7.9803924560546875,-2.0
57972,57.972,-20.717178344726562,-442.19525146484375,7.979217529296875,-2.0
58802,58.802,-21.15455436706543,-441.00299072265625,7.973968505859375,-2.0
59702,59.702,-21.60103988647461,-442.41876220703125,7.97943115234375,-2.0
60586,60.586,-22.04714012145996,-444.3460998535156,7.9838714599609375,-2.0
61552,61.552,-22.491802215576172,-444.360107421875,7.9853057861328125,-2.0
62490,62.49,-22.94183349609375,-445.7672424316406,7.9850616455078125,-2.0
63435,63.435,-23.383333206176758,-444.086181640625,7.9807586669921875,-2.0
64429,64.429,-23.83230972290039,-446.4458312988281,7.979949951171875,-2.0
65428,65.428,-24.2810001373291,-447.39141845703125,7.9838714599609375,-2.0
66402,66.402,-24.72748374938965,-447.14752197265625,7.9838714599609375,-2.0
67375,67.375,-25.175405502319336,-447.54840087890625,7.9857940673828125,-2.0
68356,68.356,-25.619972229003906,-446.39013671875,7.986175537109375,-2.0
69314,69.314,-26.07086753845215,-447.9800109863281,7.98724365234375,-2.0
70278,70.278,-26.514188766479492,-445.67779541015625,7.98858642578125,-2.0
71267,71.267,-26.963356018066406,-447.406982421875,7.9878997802734375,-2.0
72255,72.255,-27.40744400024414,-445.7271728515625,7.9841156005859375,-2.0
