time_us,time_ms,angle,vel,vbat,set_volts
1112,1.112,0.23076820373535156,-0.2520599365234375,8.090255737304688,-2.0
1904,1.904,0.23076820373535156,-0.1620330810546875,8.090576171875,-2.0
2717,2.717,0.21715402603149414,-5.0180511474609375,7.977294921875,-2.0
3625,3.625,0.13230586051940918,-33.539642333984375,7.77276611328125,-2.0
4481,4.481,0.0030679702758789062,-67.66249084472656,7.6695404052734375,-2.0
5474,5.474,-0.17727065086364746,-107.60478210449219,7.6695404052734375,-2.0
6394,6.394,-0.4021906852722168,-149.55062866210938,7.6603546142578125,-2.0
7363,7.363,-0.6580779552459717,-187.31141662597656,7.684967041015625,-2.0
8311,8.311,-0.9411931037902832,-221.32984924316406,7.72308349609375,-2.0
9336,9.336,-1.2486605644226074,-252.57435607910156,7.7620086669921875,-2.0
10384,10.384,-1.5810551643371582,-280.7349853515625,7.7996673583984375,-2.0
11327,11.327,-1.9334869384765625,-306.09124755859375,7.836456298828125,-2.0
12323,12.323,-2.297423839569092,-326.9561767578125,7.8709259033203125,-2.0
13298,13.298,-2.6762213706970215,-345.68377685546875,7.898712158203125,-2.0
14262,14.262,-3.0621132850646973,-359.6775207519531,7.921875,-2.0
15188,15.188,-3.454716682434082,-359.6775207519531,7.9403839111328125,-2.0
16173,16.173,-3.852592945098877,-371.5993347167969,7.9537811279296875,-2.0
17137,17.137,-4.259385585784912,-380.93878173828125,7.967315673828125,-2.0
18132,18.132,-4.666369915008545,-390.35894775390625,7.9790802001953125,-2.0
19144,19.144,-5.08524227142334,-396.3121643066406,7.9862060546875,-2.0
20113,20.113,-5.5096755027771,-404.4654541015625,7.998199462890625,-2.0
21083,21.083,-5.932671070098877,-411.15093994140625,8.013961791992188,-2.0
22053,22.053,-6.359501361846924,-415.39202880859375,8.018936157226562,-2.0
23034,23.034,-6.7887282371521,-419.53662109375,8.022796630859375,-2.0
23998,23.998,-6.7887282371521,-422.9361267089844,8.038497924804688,-2.0
24801,24.801,-7.224379062652588,-428.1462097167969,8.048416137695312,-2.0
25708,25.708,-7.653892993927002,-428.0504150390625,8.042449951171875,-2.0
26614,26.614,-8.093666076660156,-432.29180908203125,8.03985595703125,-2.0
27468,27.468,-8.524810791015625,-431.9947509765625,8.045700073242188,-2.0
28430,28.43,-8.965446472167969,-434.60284423828125,8.045700073242188,-2.0
29401,29.401,-9.406082153320312,-437.3411865234375,8.054580688476562,-2.0
30399,30.399,-9.84748649597168,-438.6343994140625,8.054580688476562,-2.0
31332,31.332,-10.293970108032227,-440.78082275390625,8.060073852539062,-2.0
32264,32.264,-10.733743667602539,-440.81671142578125,8.054229736328125,-2.0
33253,33.253,-11.180227279663086,-442.93524169921875,8.051437377929688,-2.0
34186,34.186,-11.626520156860352,-444.26507568359375,8.05340576171875,-2.0
35168,35.168,-12.071374893188477,-444.55328369140625,8.055908203125,-2.0
36167,36.167,-12.516036987304688,-444.55328369140625,8.058135986328125,-2.0
37114,37.114,-12.959453582763672,-444.5958557128906,8.06103515625,-2.0
38115,38.115,-13.406225204467773,-444.0128479003906,8.061508178710938,-2.0
39071,39.071,-13.84695816040039,-444.2757263183594,8.0628662109375,-2.0
40065,40.065,-14.295934677124023,-443.4874572753906,8.062759399414062,-2.0
40991,40.991,-14.737337112426758,-444.8614196777344,8.06304931640625,-2.0
41956,41.956,-15.182096481323242,-444.17852783203125,8.061294555664062,-2.0
42938,42.938,-15.182096481323242,-444.4671936035156,8.061019897460938,-2.0
43752,43.752,-15.628484725952148,-444.616943359375,8.066360473632812,-2.0
44634,44.634,-16.07583236694336,-445.998291015625,8.069244384765625,-2.0
45504,45.504,-16.525480270385742,-446.654541015625,8.067474365234375,-2.0
46449,46.449,-16.970909118652344,-446.67218017578125,8.063995361328125,-2.0
47413,47.413,-17.418161392211914,-446.8575134277344,8.060317993164062,-2.0
48366,48.366,-17.867809295654297,-447.8636169433594,8.060317993164062,-2.0
49286,49.286,-18.314964294433594,-447.6431884765625,8.064910888671875,-2.0
50230,50.23,-18.76279067993164,-447.69537353515625,8.067596435546875,-2.0
51186,51.186,-19.210905075073242,-447.7049560546875,8.067291259765625,-2.0
52170,52.17,-19.6579647064209,-447.458251953125,8.071380615234375,-2.0
53096,53.096,-20.102819442749023,-447.458251953125,8.073486328125,-2.0
54028,54.028,-20.549400329589844,-446.454833984375,8.068618774414062,-2.0
55010,55.01,-20.99367904663086,-446.03204345703125,8.061279296875,-2.0
55942,55.942,-21.439491271972656,-445.9326171875,8.058883666992188,-2.0
56943,56.943,-21.439491271972656,-445.37664794921875,8.057342529296875,-2.0
57887,57.887,-21.885784149169922,-446.27874755859375,8.065505981445312,-2.0
58816,58.816,-22.334665298461914,-447.11492919921875,8.070892333984375,-2.0
59651,59.651,-22.783546447753906,-447.6089782714844,8.067184448242188,-2.0
60527,60.527,-23.231182098388672,-447.6455993652344,8.068267822265625,-2.0
61371,61.371,-23.677858352661133,-447.3907470703125,8.068267822265625,-2.0
62321,62.321,-24.129230499267578,-448.336181640625,8.067092895507812,-2.0
63326,63.326,-24.576866149902344,-448.140869140625,8.068359375,-2.0
64289,64.289,-25.02315902709961,-447.9936218261719,8.068359375,-2.0
65227,65.227,-25.47127342224121,-448.04931640625,8.069427490234375,-2.0
66180,66.18,-25.9191951751709,-447.9273681640625,8.068450927734375,-2.0
67178,67.178,-26.3646240234375,-447.0150451660156,8.06787109375,-2.0
68149,68.149,-26.809192657470703,-446.0296630859375,8.063705444335938,-2.0
