time_us,time_ms,angle,vel,vbat,set_volts
1110,1.11,0.23230218887329102,0.338623046875,8.043624877929688,-3.0
1877,1.877,0.23076820373535156,-0.43450927734375,8.037918090820312,-3.0
2743,2.743,0.19893813133239746,-12.20867919921875,7.7373199462890625,-3.0
3684,3.684,0.07765769958496094,-51.470062255859375,7.3565826416015625,-3.0
4653,4.653,-0.09779143333435059,-96.07710266113281,7.2375640869140625,-3.0
5585,5.585,-0.35061049461364746,-150.2401580810547,7.2375640869140625,-3.0
6530,6.53,-0.6456141471862793,-201.78135681152344,7.2235107421875,-3.0
7485,7.485,-0.9799261093139648,-249.1811981201172,7.2659912109375,-3.0
8473,8.473,-1.3523001670837402,-296.16485595703125,7.3209228515625,-3.0
9423,9.423,-1.7654204368591309,-338.2896728515625,7.3828582763671875,-3.0
10497,10.497,-2.2205333709716797,-376.322265625,7.44854736328125,-3.0
11459,11.459,-2.6882057189941406,-412.56182861328125,7.511016845703125,-3.0
12432,12.432,-3.2005553245544434,-444.0146484375,7.566619873046875,-3.0
13451,13.451,-3.7113709449768066,-473.11419677734375,7.6226348876953125,-3.0
14426,14.426,-4.251715660095215,-496.7105712890625,7.6681671142578125,-3.0
15383,15.383,-4.804715633392334,-517.064697265625,7.7041473388671875,-3.0
16385,16.385,-5.372767925262451,-535.112548828125,7.737548828125,-3.0
17374,17.374,-5.946284770965576,-549.573974609375,7.7680511474609375,-3.0
18321,18.321,-6.532169818878174,-562.8427734375,7.7928466796875,-3.0
19321,19.321,-7.133969783782959,-576.4857177734375,7.814361572265625,-3.0
20352,20.352,-7.735386371612549,-585.50537109375,7.8419189453125,-3.0
21356,21.356,-8.347923278808594,-594.664306640625,7.862457275390625,-3.0
22287,22.287,-8.963912963867188,-594.664306640625,7.8720550537109375,-3.0
23242,23.242,-9.591886520385742,-603.1016845703125,7.885986328125,-3.0
24247,24.247,-10.240760803222656,-612.185302734375,7.90435791015625,-3.0
25216,25.216,-10.872856140136719,-619.779541015625,7.914947509765625,-3.0
26222,26.222,-11.516168594360352,-624.0963134765625,7.9178009033203125,-3.0
27192,27.192,-12.148937225341797,-631.5563354492188,7.924774169921875,-3.0
28129,28.129,-12.148937225341797,-636.5632934570312,7.9434814453125,-3.0
28918,28.918,-12.812383651733398,-641.4600219726562,7.955902099609375,-3.0
29833,29.833,-13.451574325561523,-646.4270629882812,7.958465576171875,-3.0
30685,30.685,-14.096038818359375,-645.1939697265625,7.9573822021484375,-3.0
31554,31.554,-14.747884750366211,-647.4603881835938,7.9582672119140625,-3.0
32504,32.504,-15.416891098022461,-649.745361328125,7.9582672119140625,-3.0
33474,33.474,-16.072763442993164,-651.7109375,7.9692230224609375,-3.0
34408,34.408,-16.71626853942871,-654.8024291992188,7.97412109375,-3.0
35383,35.383,-17.386810302734375,-655.0680541992188,7.96759033203125,-3.0
36371,36.371,-18.03779411315918,-658.8530883789062,7.9628753662109375,-3.0
37297,37.297,-18.70056915283203,-660.3837890625,7.966583251953125,-3.0
38267,38.267,-19.36727523803711,-662.4922485351562,7.977142333984375,-3.0
39291,39.291,-20.054210662841797,-662.4922485351562,7.9900970458984375,-3.0
40282,40.282,-20.706439971923828,-666.5277709960938,7.991973876953125,-3.0
41282,41.282,-21.366531372070312,-664.4105224609375,7.9892425537109375,-3.0
42274,42.274,-22.04714012145996,-664.4105224609375,7.98974609375,-3.0
43298,43.298,-22.69285011291504,-663.8052368164062,7.9905242919921875,-3.0
44256,44.256,-23.352365493774414,-661.637939453125,7.98614501953125,-3.0
45257,45.257,-24.03278160095215,-661.637939453125,7.9727783203125,-3.0
46197,46.197,-24.701597213745117,-663.4174194335938,7.969635009765625,-3.0
47185,47.185,-25.37415313720703,-664.9771728515625,7.9785919189453125,-3.0
48123,48.123,-26.036640167236328,-667.8765258789062,7.9929046630859375,-3.0
49118,49.118,-26.707565307617188,-671.7044067382812,8.004486083984375,-3.0
50080,50.08,-26.707565307617188,-671.5233764648438,8.001129150390625,-3.0
51056,51.056,-27.37734031677246,-670.67041015625,7.9962921142578125,-3.0
52051,52.051,-28.045005798339844,-668.8614501953125,7.9965972900390625,-3.0
53040,53.04,-28.710752487182617,-668.0678100585938,7.994659423828125,-3.0
53849,53.849,-29.390594482421875,-667.25830078125,7.98602294921875,-3.0
54700,54.7,-30.036014556884766,-664.6974487304688,7.9740447998046875,-3.0
55588,55.588,-30.706558227539062,-666.2926025390625,7.977294921875,-3.0
56495,56.495,-31.37326431274414,-667.021728515625,7.9881591796875,-3.0
57468,57.468,-32.06460952758789,-670.09619140625,8.000823974609375,-3.0
58494,58.494,-32.72853469848633,-672.9913330078125,8.006866455078125,-3.0
59442,59.442,-33.40550231933594,-674.4362182617188,8.006866455078125,-3.0
60416,60.416,-34.07249450683594,-672.02490234375,8.006256103515625,-3.0
61439,61.439,-34.756553649902344,-671.6024169921875,8.006256103515625,-3.0
62416,62.416,-35.42671203613281,-670.3845825195312,8.004318237304688,-3.0
63368,63.368,-36.06820297241211,-665.4480590820312,7.9982147216796875,-3.0
64319,64.319,-36.749961853027344,-665.7762451171875,7.980194091796875,-3.0
65302,65.302,-37.40324783325195,-666.9065551757812,7.972320556640625,-3.0
66228,66.228,-38.07551574707031,-669.0037841796875,7.980712890625,-3.0
67191,67.191,-38.77433776855469,-669.0037841796875,7.9940643310546875,-3.0
68172,68.172,-39.45053482055664,-673.6968383789062,8.009323120117188,-3.0
69110,69.11,-40.1182975769043,-674.5346069335938,8.014205932617188,-3.0
70104,70.104,-40.788551330566406,-672.725341796875,8.011367797851562,-3.0
71073,71.073,-41.456886291503906,-671.84619140625,8.0072021484375,-3.0
72076,72.076,-42.106719970703125,-670.8143310546875,8.001495361328125,-3.0
73021,73.021,-42.76882553100586,-668.622802734375,7.98919677734375,-3.0
74027,74.027,-42.76882553100586,-665.874267578125,7.9761505126953125,-3.0
74967,74.967,-43.43716049194336,-666.7725219726562,7.9799041748046875,-3.0
75779,75.779,-44.125919342041016,-668.6797485351562,7.994354248046875,-3.0
76676,76.676,-44.7891731262207,-672.80859375,8.007293701171875,-3.0
77552,77.552,-45.463932037353516,-673.2863159179688,8.01177978515625,-3.0
78517,78.517,-46.138404846191406,-672.8424072265625,8.00787353515625,-3.0
79472,79.472,-46.807220458984375,-671.8653564453125,8.00732421875,-3.0
80397,80.397,-47.49319839477539,-671.2637329101562,8.00732421875,-3.0
81348,81.348,-48.16469955444336,-671.1414184570312,8.007904052734375,-3.0
82299,82.299,-48.821529388427734,-666.5667114257812,7.998382568359375,-3.0
83281,83.281,-49.475196838378906,-667.2132568359375,7.9799957275390625,-3.0
84250,84.25,-50.15743637084961,-667.4002685546875,7.9752349853515625,-3.0
85256,85.256,-50.8153190612793,-669.9322509765625,7.9910736083984375,-3.0
86250,86.25,-51.49736785888672,-673.5377807617188,8.008087158203125,-3.0
87245,87.245,-52.174522399902344,-674.4066162109375,8.014984130859375,-3.0
88222,88.222,-52.84180450439453,-672.5921630859375,8.014175415039062,-3.0
89167,89.167,-53.51177215576172,-671.7280883789062,8.010879516601562,-3.0
90167,90.167,-54.18058776855469,-671.218505859375,8.007888793945312,-3.0
91167,91.167,-54.84269332885742,-667.1424560546875,8.002761840820312,-3.0
92160,92.16,-55.5093994140625,-667.0325317382812,7.98822021484375,-3.0
93159,93.159,-56.192020416259766,-667.0325317382812,7.9775238037109375,-3.0
94079,94.079,-56.86610794067383,-667.3369750976562,7.9833984375,-3.0
95086,95.086,-57.54566192626953,-669.2733154296875,7.995208740234375,-3.0
96048,96.048,-58.21888732910156,-673.5490112304688,8.007278442382812,-3.0
97051,97.051,-58.871883392333984,-673.5075073242188,8.011688232421875,-3.0
98030,98.03,-59.54242706298828,-671.6109008789062,8.008651733398438,-3.0
98961,98.961,-59.54242706298828,-671.0419921875,8.007797241210938,-3.0
99892,99.892,-60.21085739135742,-670.4453735351562,8.006637573242188,-3.0
100694,100.694,-60.89366912841797,-669.322021484375,7.994903564453125,-3.0
101582,101.582,-61.539188385009766,-665.9738159179688,7.978851318359375,-3.0
102531,102.531,-62.20608901977539,-666.3404541015625,7.981353759765625,-3.0
103437,103.437,-62.89292526245117,-668.2843017578125,7.995025634765625,-3.0
104395,104.395,-63.55388259887695,-671.1820678710938,7.995025634765625,-3.0
105326,105.326,-64.24551391601562,-672.6817626953125,8.007675170898438,-3.0
106300,106.3,-64.9205551147461,-673.5337524414062,8.01373291015625,-3.0
107253,107.253,-65.57269287109375,-671.4509887695312,8.010879516601562,-3.0
108222,108.222,-66.25761413574219,-670.2484130859375,8.0072021484375,-3.0
109215,109.215,-66.9100341796875,-670.4153442382812,8.003921508789062,-3.0
110205,110.205,-67.56897735595703,-665.7951049804688,7.994720458984375,-3.0
111193,111.193,-68.25245666503906,-666.7611083984375,7.978363037109375,-3.0
112208,112.208,-68.90545654296875,-667.52490234375,7.9734954833984375,-3.0
113160,113.16,-69.57791900634766,-669.8414306640625,7.98583984375,-3.0
114116,114.116,-70.26044464111328,-669.8414306640625,7.9972381591796875,-3.0
115070,115.07,-70.95025634765625,-673.835205078125,8.006301879882812,-3.0
116056,116.056,-71.61666870117188,-674.2305908203125,8.011016845703125,-3.0
117055,117.055,-72.28520202636719,-671.1590576171875,8.005645751953125,-3.0
117981,117.981,-72.9363784790039,-670.7850341796875,8.00518798828125,-3.0
118927,118.927,-73.5993423461914,-669.0030517578125,8.001998901367188,-3.0
119947,119.947,-74.2795639038086,-666.3825073242188,7.986572265625,-3.0
120940,120.94,-74.93208312988281,-665.8211669921875,7.9757843017578125,-3.0
121943,121.943,-75.60454559326172,-666.7083740234375,7.9782562255859375,-3.0
122961,122.961,-76.2990493774414,-668.4502563476562,7.9918365478515625,-3.0
123961,123.961,-76.95751190185547,-672.8783569335938,8.0048828125,-3.0
124943,124.943,-77.64128875732422,-673.2750854492188,8.010147094726562,-3.0
125967,125.967,-78.29533386230469,-671.4581909179688,8.00555419921875,-3.0
126949,126.949,-78.96405792236328,-670.6109619140625,8.002090454101562,-3.0
127927,127.927,-79.63459777832031,-670.3531494140625,8.003265380859375,-3.0
128917,128.917,-80.30782318115234,-669.887451171875,7.9939422607421875,-3.0
129924,129.924,-80.96283721923828,-665.736083984375,7.9774932861328125,-3.0
130948,130.948,-81.64631652832031,-667.032470703125,7.9766998291015625,-3.0
131966,131.966,-82.30525970458984,-668.0428466796875,7.9881591796875,-3.0
132905,132.905,-83.00015258789062,-670.114990234375,8.003341674804688,-3.0
133899,133.899,-83.00015258789062,-673.131103515625,8.016952514648438,-3.0
134863,134.863,-83.66033935546875,-673.985595703125,8.014938354492188,-3.0
135700,135.7,-84.3440170288086,-672.4873046875,8.00970458984375,-3.0
136554,136.554,-84.9976806640625,-671.300537109375,8.00799560546875,-3.0
137398,137.398,-85.68289184570312,-670.6420288085938,8.000228881835938,-3.0
138317,138.317,-86.33991241455078,-666.0905151367188,7.9837646484375,-3.0
139311,139.311,-87.00920867919922,-667.42236328125,7.9837646484375,-3.0
140232,140.232,-87.67774200439453,-667.5322265625,7.9775390625,-3.0
141216,141.216,-88.33802032470703,-670.490234375,7.9889373779296875,-3.0
142193,142.193,-89.03675079345703,-674.683837890625,8.003921508789062,-3.0
143195,143.195,-89.69416046142578,-675.2246704101562,8.012191772460938,-3.0
144144,144.144,-90.37610626220703,-671.5479125976562,8.010894775390625,-3.0
145161,145.161,-91.03274536132812,-670.9197387695312,8.005645751953125,-3.0
146140,146.14,-91.71613311767578,-670.0027465820312,8.0050048828125,-3.0
147138,147.138,-92.38140106201172,-668.585693359375,8.0040283203125,-3.0
148163,148.163,-93.04676818847656,-667.6005249023438,7.9893798828125,-3.0
149139,149.139,-93.7147216796875,-667.322509765625,7.979461669921875,-3.0
150072,150.072,-94.37155151367188,-668.9552001953125,7.98406982421875,-3.0
151067,151.067,-95.06558227539062,-672.4285888671875,7.995697021484375,-3.0
