time_us,time_ms,angle,vel,vbat,set_volts
1102,1.102,1.1435825824737549,-0.034912109375,7.9861602783203125,-2.0
1900,1.9,1.1435825824737549,-0.0303955078125,7.988494873046875,-2.0
2757,2.757,1.1154916286468506,-9.712692260742188,7.8379364013671875,-2.0
3671,3.671,1.0205765962600708,-40.438446044921875,7.633697509765625,-2.0
4610,4.61,0.8856821060180664,-74.20606994628906,7.574920654296875,-2.0
5560,5.56,0.7002620697021484,-113.57513427734375,7.574920654296875,-2.0
6492,6.492,0.47074031829833984,-155.02023315429688,7.5733795166015625,-2.0
7455,7.455,0.2065122127532959,-193.84962463378906,7.603485107421875,-2.0
8455,8.455,-0.07478165626525879,-225.44964599609375,7.6434173583984375,-2.0
9436,9.436,-0.38407063484191895,-254.6238555908203,7.6798095703125,-2.0
10487,10.487,-0.7095620632171631,-280.60308837890625,7.7111663818359375,-2.0
11429,11.429,-1.0477089881896973,-300.20562744140625,7.7425537109375,-2.0
12402,12.402,-1.392183780670166,-316.6802062988281,7.767547607421875,-2.0
13383,13.383,-1.7529568672180176,-332.01629638671875,7.78643798828125,-2.0
14327,14.327,-2.1157431602478027,-332.01629638671875,7.80517578125,-2.0
15289,15.289,-2.483323097229004,-343.768798828125,7.8194427490234375,-2.0
16297,16.297,-2.8550262451171875,-352.5319519042969,7.8294677734375,-2.0
17212,17.212,-3.2310428619384766,-358.94256591796875,7.835723876953125,-2.0
18157,18.157,-3.2310428619384766,-365.1026306152344,7.8434600830078125,-2.0
18933,18.933,-3.607059955596924,-368.97509765625,7.8500213623046875,-2.0
19828,19.828,-3.9889254570007324,-373.5958251953125,7.8446502685546875,-2.0
20682,20.682,-4.369448661804199,-376.3912048339844,7.8457489013671875,-2.0
21613,21.613,-4.751314163208008,-378.12115478515625,7.85174560546875,-2.0
22539,22.539,-5.136534690856934,-380.7769470214844,7.85174560546875,-2.0
23493,23.493,-5.523481845855713,-382.440185546875,7.8538360595703125,-2.0
24430,24.43,-5.906784534454346,-382.82049560546875,7.857452392578125,-2.0
25387,25.387,-6.292294025421143,-383.77685546875,7.8607330322265625,-2.0
26324,26.324,-6.677802562713623,-383.77685546875,7.8648834228515625,-2.0
27327,27.327,-7.06657075881958,-385.76995849609375,7.86749267578125,-2.0
28317,28.317,-7.452846050262451,-385.76995849609375,7.8691253662109375,-2.0
29348,29.348,-7.83471155166626,-384.7731628417969,7.8694000244140625,-2.0
30347,30.347,-8.222713470458984,-385.4216613769531,7.8687286376953125,-2.0
31298,31.298,-8.601797103881836,-385.4216613769531,7.86309814453125,-2.0
32238,32.238,-8.987977981567383,-383.6929626464844,7.8637237548828125,-2.0
33240,33.24,-9.371088027954102,-384.03790283203125,7.8669586181640625,-2.0
34177,34.177,-9.754583358764648,-383.7295837402344,7.860809326171875,-2.0
35173,35.173,-10.135778427124023,-383.5461730957031,7.8584747314453125,-2.0
36123,36.123,-10.521095275878906,-383.0355529785156,7.8593597412109375,-2.0
37111,37.111,-10.901042938232422,-384.005126953125,7.8610076904296875,-2.0
38110,38.11,-11.287607192993164,-382.612060546875,7.862457275390625,-2.0
39140,39.14,-11.677621841430664,-384.20904541015625,7.861572265625,-2.0
40129,40.129,-12.063800811767578,-386.3750305175781,7.8633270263671875,-2.0
41129,41.129,-12.063800811767578,-386.43121337890625,7.8666229248046875,-2.0
42067,42.067,-12.453720092773438,-387.19061279296875,7.872039794921875,-2.0
43060,43.06,-12.845842361450195,-388.959228515625,7.8765716552734375,-2.0
43888,43.888,-13.238447189331055,-390.1952209472656,7.87994384765625,-2.0
44764,44.764,-13.633926391601562,-392.699462890625,7.88507080078125,-2.0
45605,45.605,-14.024803161621094,-391.4642028808594,7.8844757080078125,-2.0
46520,46.52,-14.423255920410156,-393.9336242675781,7.88330078125,-2.0
47495,47.495,-14.816913604736328,-393.82415771484375,7.88330078125,-2.0
48476,48.476,-15.218433380126953,-396.643798828125,7.886322021484375,-2.0
49408,49.408,-15.617843627929688,-397.68634033203125,7.8889312744140625,-2.0
50358,50.358,-16.022525787353516,-400.13568115234375,7.888916015625,-2.0
51333,51.333,-16.426729202270508,-401.41925048828125,7.8912506103515625,-2.0
52279,52.279,-16.83342742919922,-401.41925048828125,7.8921966552734375,-2.0
53195,53.195,-17.237438201904297,-403.29559326171875,7.8921051025390625,-2.0
54190,54.19,-17.64854621887207,-403.5264892578125,7.8943328857421875,-2.0
55166,55.166,-18.06233787536621,-406.33892822265625,7.900634765625,-2.0
56110,56.11,-18.47612762451172,-409.23040771484375,7.902740478515625,-2.0
57092,57.092,-18.895288467407227,-411.076904296875,7.9027252197265625,-2.0
58095,58.095,-19.310901641845703,-413.3939208984375,7.910980224609375,-2.0
59082,59.082,-19.73629379272461,-414.63067626953125,7.91656494140625,-2.0
60082,60.082,-20.157564163208008,-418.5807800292969,7.9216766357421875,-2.0
61065,61.065,-20.586885452270508,-419.047607421875,7.9246673583984375,-2.0
