time_us,time_ms,angle,vel,vbat,set_volts
1116,1.116,4.71392297744751,-0.0095977783203125,7.9250335693359375,-1.0
1990,1.99,4.709321022033691,-0.0095977783203125,7.925811767578125,-1.0
2989,2.989,4.667999267578125,-1.8935089111328125,7.9003753662109375,-1.0
3989,3.989,4.5864105224609375,-15.527069091796875,7.83721923828125,-1.0
4971,4.971,4.491783142089844,-38.88893127441406,7.7951202392578125,-1.0
5973,5.973,4.368393898010254,-58.39149475097656,7.7890167236328125,-1.0
6912,6.912,4.2235283851623535,-82.03839111328125,7.7944793701171875,-1.0
7914,7.914,4.067445755004883,-104.80123901367188,7.807861328125,-1.0
8883,8.883,3.9098293781280518,-122.67498779296875,7.8210906982421875,-1.0
9883,9.883,3.755089282989502,-134.98202514648438,7.8302459716796875,-1.0
10977,10.977,3.602745532989502,-141.85704040527344,7.8349456787109375,-1.0
11914,11.914,3.4549083709716797,-146.06216430664062,7.835601806640625,-1.0
12871,12.871,3.317521095275879,-146.6820831298828,7.832489013671875,-1.0
13870,13.87,3.1973912715911865,-143.29669189453125,7.8267822265625,-1.0
14864,14.864,3.0889580249786377,-135.44894409179688,7.81768798828125,-1.0
15865,15.865,2.991933584213257,-125.6099853515625,7.8087005615234375,-1.0
16871,16.871,2.991933584213257,-115.26950073242188,7.797882080078125,-1.0
17775,17.775,2.9067018032073975,-104.86930847167969,7.7887115478515625,-1.0
18617,18.617,2.8290441036224365,-95.17588806152344,7.777984619140625,-1.0
19495,19.495,2.7574262619018555,-86.68624877929688,7.7655181884765625,-1.0
20368,20.368,2.6905064582824707,-79.62284851074219,7.7570343017578125,-1.0
21337,21.337,2.623586416244507,-75.087158203125,7.749603271484375,-1.0
22255,22.255,2.5598304271698,-71.01931762695312,7.7452850341796875,-1.0
23248,23.248,2.501922607421875,-66.26138305664062,7.7452850341796875,-1.0
24182,24.182,2.442384958267212,-63.76579284667969,7.744232177734375,-1.0
25135,25.135,2.3841896057128906,-61.7158203125,7.7416534423828125,-1.0
26080,26.08,2.3241727352142334,-61.24681091308594,7.738006591796875,-1.0
27088,27.088,2.257636308670044,-63.13417053222656,7.736328125,-1.0
28088,28.088,2.189086437225342,-65.09066772460938,7.73663330078125,-1.0
29032,29.032,2.1123874187469482,-68.68901062011719,7.73974609375,-1.0
30023,30.023,2.0323328971862793,-73.36199951171875,7.744842529296875,-1.0
31029,31.029,1.9431700706481934,-78.64483642578125,7.7515106201171875,-1.0
31973,31.973,1.850076675415039,-83.82853698730469,7.75506591796875,-1.0
33016,33.016,1.7487380504608154,-90.20147705078125,7.75689697265625,-1.0
34044,34.044,1.6403048038482666,-96.77247619628906,7.7627105712890625,-1.0
35038,35.038,1.5219006538391113,-104.63211059570312,7.7707366943359375,-1.0
36007,36.007,1.3924710750579834,-113.14389038085938,7.778167724609375,-1.0
37009,37.009,1.2541251182556152,-122.33837890625,7.7849273681640625,-1.0
38023,38.023,1.1086845397949219,-130.75686645507812,7.794403076171875,-1.0
39022,39.022,0.9549030065536499,-139.1221466064453,7.8077545166015625,-1.0
40033,40.033,0.7946978807449341,-146.0743408203125,7.8180694580078125,-1.0
40967,40.967,0.6334381103515625,-151.44424438476562,7.8210296630859375,-1.0
41967,41.967,0.4694938659667969,-151.44424438476562,7.8266448974609375,-1.0
42905,42.905,0.30382394790649414,-155.98118591308594,7.8328399658203125,-1.0
43831,43.831,0.1350860595703125,-160.17575073242188,7.8362884521484375,-1.0
44794,44.794,-0.03480219841003418,-162.76914978027344,7.8412322998046875,-1.0
45750,45.75,-0.20775866508483887,-165.3341522216797,7.8444061279296875,-1.0
46758,46.758,-0.3819613456726074,-168.1640625,7.8463287353515625,-1.0
47740,47.74,-0.3819613456726074,-170.4922637939453,7.8486480712890625,-1.0
48616,48.616,-0.5572185516357422,-172.33811950683594,7.85125732421875,-1.0
49502,49.502,-0.733147144317627,-173.11297607421875,7.853668212890625,-1.0
50390,50.39,-0.9105136394500732,-175.1560516357422,7.8552093505859375,-1.0
51263,51.263,-1.092386245727539,-177.5984344482422,7.8569488525390625,-1.0
52194,52.194,-1.2737793922424316,-179.10134887695312,7.857147216796875,-1.0
53125,53.125,-1.4566106796264648,-179.08657836914062,7.857147216796875,-1.0
54089,54.089,-1.6320595741271973,-179.3115997314453,7.858795166015625,-1.0
55022,55.022,-1.8132615089416504,-180.07810974121094,7.8616943359375,-1.0
56057,56.057,-1.9991607666015625,-181.62753295898438,7.86138916015625,-1.0
57001,57.001,-2.18247127532959,-182.18695068359375,7.8626556396484375,-1.0
57973,57.973,-2.363001823425293,-182.0506134033203,7.8643951416015625,-1.0
58982,58.982,-2.544778347015381,-182.06903076171875,7.86224365234375,-1.0
59958,59.958,-2.7308692932128906,-182.916748046875,7.8638153076171875,-1.0
60951,60.951,-2.919069766998291,-184.72108459472656,7.8676910400390625,-1.0
61908,61.908,-3.1053524017333984,-185.2713165283203,7.867767333984375,-1.0
