R,m,I,final_com_velocity,end_time,motor_angle,bottom_height
3.000000000000000062e-03,3.600000000000000091e-05,1.879199999999999828e-10,5.558497210240680886e+00,5.561005750064820785e-02,5.451290845461394241e+01,9.250000000000008216e-02
4.000000000000000083e-03,6.400000000000001066e-05,5.939200000000000542e-10,6.983203222459604120e+00,4.556457040969861400e-02,3.907736768421758455e+01,9.249999999999995726e-02
5.000000000000000104e-03,1.000000000000000048e-04,1.449999999999999956e-09,7.499483103421745511e+00,4.015970292118015844e-02,3.069722036763786832e+01,9.249999999999987399e-02
6.000000000000000125e-03,1.440000000000000036e-04,3.006719999999999725e-09,7.531257535444989770e+00,3.679615330097890658e-02,2.535101774903228744e+01,9.249999999999992950e-02
7.000000000000000146e-03,1.959999999999999937e-04,5.570319999999999020e-09,7.552955708533331425e+00,3.455601415016832517e-02,2.161264923563377849e+01,9.249999999999991562e-02
8.000000000000000167e-03,2.560000000000000426e-04,9.502720000000000868e-09,7.338604120198692904e+00,3.301043281303590177e-02,1.881972894247130768e+01,9.250000000000005440e-02
8.999999999999999320e-03,3.239999999999999608e-04,1.522151999999999481e-08,7.022095149583246432e+00,3.200329267121161669e-02,1.668406890369371709e+01,9.249999999999991562e-02
1.000000000000000021e-02,4.000000000000000192e-04,2.319999999999999929e-08,6.901141381769079430e+00,3.139281512167286375e-02,1.497432929366432219e+01,9.250000000000010991e-02
1.099999999999999936e-02,4.839999999999999468e-04,3.396711999999998103e-08,6.525617892554304689e+00,3.108174718559972294e-02,1.362656560201374845e+01,9.249999999999997113e-02
