k,h_dot_global,h_dot_max_disk,theta_dot_global,theta_dot_max_disk,spring_end,fixed_end
5.000000000000000000e+05,5.381367157601069096e-01,7.365677321007942924e-01,1.088720519537634459e+02,1.496488448100930952e+02,4.045015093192939198e-02,4.015970292118015844e-02
1.000000000000000000e+06,6.428243199546694875e-01,9.013908752918766698e-01,1.335388910974449743e+02,1.847599817116557404e+02,4.030968551125580640e-02,4.015970292118015844e-02
2.000000000000000000e+06,3.829384580280659756e-01,4.965006910953631003e-01,8.887519465127560636e+01,1.128088437509554183e+02,4.024882957009700418e-02,4.015970292118015844e-02
5.000000000000000000e+06,3.234587706434885468e-01,3.939750794474899398e-01,6.920097572338785596e+01,8.359829695260872029e+01,4.020217850658334979e-02,4.015970292118015844e-02
1.000000000000000000e+07,2.224820347009526245e-01,2.647150536768164142e-01,4.433817166420294598e+01,5.199044131172784233e+01,4.018082506176735846e-02,4.015970292118015844e-02
2.000000000000000000e+07,1.264062566025776491e-01,1.486155627513597310e-01,2.479004688550050872e+01,2.781781515172236752e+01,4.016868934961657922e-02,4.015970292118015844e-02
5.000000000000000000e+07,6.502711876420262660e-02,8.177211953871164896e-02,1.157830088157451165e+01,1.358917722455016808e+01,4.016390965440980176e-02,4.015970292118015844e-02
1.000000000000000000e+08,3.950436897318738982e-02,4.923029644812192129e-02,6.693686369116159440e+00,7.851619111614650315e+00,4.016159747304631072e-02,4.015970292118015844e-02
