sweep_type,motor_scale,tau_max,w_max,m,I,I_ratio,stroke,g,L_min,L_max,guess_idx,guess_L,guess_r,guess_T,success,opt_L,opt_r,opt_T,y_final,ydot_final,error
mass,2.0,0.66888888892,1565.0367402633153,0.05,4.5e-06,1.0,0.05,9.81,0.1,0.18,0,0.12,0.004,0.03,True,0.09999999000990735,0.009392857519626976,0.015080142837113994,0.050000000000006956,10.036168126663094,
mass,2.0,0.66888888892,1565.0367402633153,0.05,4.5e-06,1.0,0.05,9.81,0.1,0.18,1,0.12,0.01,0.03,True,0.09999999000991217,0.009392857524920728,0.015080142832571043,0.049999999980021206,10.036168120031164,
mass,2.0,0.66888888892,1565.0367402633153,0.05,4.5e-06,1.0,0.05,9.81,0.1,0.18,2,0.18,0.004,0.03,True,0.09999999000428487,0.009392857524420723,0.015080142833554853,0.04999999999889088,10.036168126403163,
mass,2.0,0.66888888892,1565.0367402633153,0.05,4.5e-06,1.0,0.05,9.81,0.1,0.18,3,0.18,0.01,0.03,True,0.0999999906254678,0.009392856895400608,0.015080143288807933,0.04999999999363259,10.036168113906138,
mass,2.0,0.66888888892,1565.0367402633153,0.06551724137931035,4.5e-06,1.0,0.05,9.81,0.1,0.18,0,0.12,0.004,0.03,True,0.09999999001139709,0.008497802853051918,0.01612309157773188,0.04999999999994808,9.180109357133965,
mass,2.0,0.66888888892,1565.0367402633153,0.06551724137931035,4.5e-06,1.0,0.05,9.81,0.1,0.18,1,0.12,0.01,0.03,True,0.10000003740437974,0.008497763751675935,0.016123125079644238,0.049999999999995985,9.180108644356356,
mass,2.0,0.66888888892,1565.0367402633153,0.06551724137931035,4.5e-06,1.0,0.05,9.81,0.1,0.18,2,0.18,0.004,0.03,True,0.0999999988457761,0.008497795529219563,0.016123097847283347,0.04999999992407497,9.18010920326667,
mass,2.0,0.66888888892,1565.0367402633153,0.06551724137931035,4.5e-06,1.0,0.05,9.81,0.1,0.18,3,0.18,0.01,0.03,True,0.0999999900058143,0.008497802857673337,0.0161230915737756,0.04999999999999986,9.180109357233057,
mass,2.0,0.66888888892,1565.0367402633153,0.08103448275862069,4.5e-06,1.0,0.05,9.81,0.1,0.18,0,0.12,0.004,0.03,True,0.09999999252274808,0.007863894078996785,0.016995187587182718,0.049999999985460994,8.553131003964927,
mass,2.0,0.66888888892,1565.0367402633153,0.08103448275862069,4.5e-06,1.0,0.05,9.81,0.1,0.18,1,0.12,0.01,0.03,True,0.09999999001273324,0.007863895932132978,0.01699518578378016,0.049999999999525375,8.553131041371765,
mass,2.0,0.66888888892,1565.0367402633153,0.08103448275862069,4.5e-06,1.0,0.05,9.81,0.1,0.18,2,0.18,0.004,0.03,True,0.09999999000630756,0.00786389593660205,0.016995185779402202,0.04999999999933625,8.553131041404457,
mass,2.0,0.66888888892,1565.0367402633153,0.08103448275862069,4.5e-06,1.0,0.05,9.81,0.1,0.18,3,0.18,0.01,0.03,True,0.09999999008303817,0.007863895883017495,0.01699518583179237,0.04999999999998976,8.55313104055529,
mass,2.0,0.66888888892,1565.0367402633153,0.09655172413793103,4.5e-06,1.0,0.05,9.81,0.1,0.18,0,0.12,0.004,0.03,True,0.09999999007367084,0.007383029711288183,0.017750794088704693,0.04999999996111035,8.065325612822528,
mass,2.0,0.66888888892,1565.0367402633153,0.09655172413793103,4.5e-06,1.0,0.05,9.81,0.1,0.18,1,0.12,0.01,0.03,True,0.09999999001410073,0.00738302973896918,0.017750794060059878,0.049999999999999954,8.06532562395726,
mass,2.0,0.66888888892,1565.0367402633153,0.09655172413793103,4.5e-06,1.0,0.05,9.81,0.1,0.18,2,0.18,0.004,0.03,True,0.09999999000714621,0.007383029743238615,0.01775079405540604,0.04999999999978453,8.065325623988839,
mass,2.0,0.66888888892,1565.0367402633153,0.09655172413793103,4.5e-06,1.0,0.05,9.81,0.1,0.18,3,0.18,0.01,0.03,True,0.0999999901562477,0.007481953933623686,0.01765227910878563,0.050000003128218645,8.064963846615743,
mass,2.0,0.66888888892,1565.0367402633153,0.11206896551724138,4.5e-06,1.0,0.05,9.81,0.1,0.18,0,0.12,0.004,0.03,True,0.09999999005016148,0.007001123817792093,0.018421272033825258,0.04999999999999976,7.670084889521843,
mass,2.0,0.66888888892,1565.0367402633153,0.11206896551724138,4.5e-06,1.0,0.05,9.81,0.1,0.18,1,0.12,0.01,0.03,True,0.09999999131427863,0.0070011231333798035,0.01842127284931824,0.04999999999981585,7.670084875327906,
mass,2.0,0.66888888892,1565.0367402633153,0.11206896551724138,4.5e-06,1.0,0.05,9.81,0.1,0.18,2,0.18,0.004,0.03,True,0.09999999006276505,0.007001123787590699,0.018421272067521605,0.0499999999907865,7.670084888504772,
mass,2.0,0.66888888892,1565.0367402633153,0.11206896551724138,4.5e-06,1.0,0.05,9.81,0.1,0.18,3,0.18,0.01,0.03,True,0.09999999000769555,0.007001123840739503,0.018421272006377578,0.04999999999822795,7.670084889558608,
mass,2.0,0.66888888892,1565.0367402633153,0.12758620689655173,4.5e-06,1.0,0.05,9.81,0.1,0.18,0,0.12,0.004,0.03,True,0.09999999001642143,0.006687672181003911,0.01902648466965215,0.04999999899068474,7.340362052615855,
mass,2.0,0.66888888892,1565.0367402633153,0.12758620689655173,4.5e-06,1.0,0.05,9.81,0.1,0.18,1,0.12,0.01,0.03,True,0.09999999112083309,0.006687672427067383,0.019026484482145407,0.04999999999978361,7.340362224304431,
mass,2.0,0.66888888892,1565.0367402633153,0.12758620689655173,4.5e-06,1.0,0.05,9.81,0.1,0.18,2,0.18,0.004,0.03,True,0.09999999000840794,0.0066876729693437515,0.019026483782887148,0.049999999999996284,7.3403622359133855,
mass,2.0,0.66888888892,1565.0367402633153,0.12758620689655173,4.5e-06,1.0,0.05,9.81,0.1,0.18,3,0.18,0.01,0.03,True,0.09999999000841651,0.006687672969535785,0.019026483782646025,0.04999999999975142,7.340362235848096,
mass,2.0,0.66888888892,1565.0367402633153,0.14310344827586208,4.5e-06,1.0,0.05,9.81,0.1,0.18,0,0.12,0.004,0.03,True,0.09999999151311592,0.006423964804141642,0.019579872598998904,0.04999999989446175,7.059173857466995,
mass,2.0,0.66888888892,1565.0367402633153,0.14310344827586208,4.5e-06,1.0,0.05,9.81,0.1,0.18,1,0.12,0.01,0.03,True,0.09999999001766366,0.006423965565647048,0.01957987156279704,0.04999999999999993,7.059173890599682,
mass,2.0,0.66888888892,1565.0367402633153,0.14310344827586208,4.5e-06,1.0,0.05,9.81,0.1,0.18,2,0.18,0.004,0.03,True,0.09999999000891148,0.006423965569477737,0.019579871557484425,0.04999999999984164,7.059173890649311,
mass,2.0,0.66888888892,1565.0367402633153,0.14310344827586208,4.5e-06,1.0,0.05,9.81,0.1,0.18,3,0.18,0.01,0.03,True,0.09999999000899787,0.006423965569491119,0.019579871557481598,0.049999999999999996,7.05917389068391,
mass,2.0,0.66888888892,1565.0367402633153,0.1586206896551724,4.5e-06,1.0,0.05,9.81,0.1,0.18,0,0.12,0.004,0.03,True,0.09999999001876968,0.006197789236186152,0.020090988872166413,0.05000000000000171,6.8152121179650464,
mass,2.0,0.66888888892,1565.0367402633153,0.1586206896551724,4.5e-06,1.0,0.05,9.81,0.1,0.18,1,0.12,0.01,0.03,True,0.09999999079976786,0.006197788917167445,0.020090989341510723,0.049999999997893015,6.815212110365007,
mass,2.0,0.66888888892,1565.0367402633153,0.1586206896551724,4.5e-06,1.0,0.05,9.81,0.1,0.18,2,0.18,0.004,0.03,True,0.09999999000956178,0.0061977892398998305,0.020090988866689197,0.049999999999902345,6.81521211802985,
mass,2.0,0.66888888892,1565.0367402633153,0.1586206896551724,4.5e-06,1.0,0.05,9.81,0.1,0.18,3,0.18,0.01,0.03,True,0.09999999065097662,0.006197788988213211,0.02009098923532265,0.04999999995096598,6.815212101225478,
mass,2.0,0.66888888892,1565.0367402633153,0.17413793103448277,4.5e-06,1.0,0.05,9.81,0.1,0.18,0,0.12,0.004,0.03,True,0.09999999001844635,0.0060007821501689255,0.020566888215486214,0.04999999999818204,6.600599836689572,
