sweep_type,motor_scale,tau_max,w_max,m,I,I_ratio,stroke,g,L_min,L_max,guess_idx,guess_L,guess_r,guess_T,success,opt_L,opt_r,opt_T,y_final,ydot_final,error
mass,1.0,0.33444444446,782.5183701316577,0.05,4.5e-06,1.0,0.08,9.81,0.16,0.18,0,0.12,0.004,0.03,True,0.16000205565908548,0.013469910888628185,0.02695148740449946,0.0800000044952539,7.284559492024804,
mass,1.0,0.33444444446,782.5183701316577,0.05,4.5e-06,1.0,0.08,9.81,0.16,0.18,1,0.12,0.01,0.03,True,0.15999999002338153,0.013460460454601747,0.026958857175798396,0.07999999999999943,7.2845691061694335,
mass,1.0,0.33444444446,782.5183701316577,0.05,4.5e-06,1.0,0.08,9.81,0.16,0.18,2,0.18,0.004,0.03,True,0.1600000000033668,0.013489390267673417,0.02693607622851504,0.08000000389081996,7.2845608656905325,
mass,1.0,0.33444444446,782.5183701316577,0.05,4.5e-06,1.0,0.08,9.81,0.16,0.18,3,0.18,0.01,0.03,True,0.1599999900229564,0.013460460454677936,0.02695885717571316,0.07999999999985957,7.284569106150949,
mass,1.0,0.33444444446,782.5183701316577,0.06551724137931035,4.5e-06,1.0,0.08,9.81,0.16,0.18,0,0.12,0.004,0.03,True,0.15999999004512502,0.012337187517174922,0.028918036651130827,0.07999999999998797,6.620094307627466,
mass,1.0,0.33444444446,782.5183701316577,0.06551724137931035,4.5e-06,1.0,0.08,9.81,0.16,0.18,1,0.12,0.01,0.03,True,0.15999999002685625,0.012337187521469659,0.028918036646368134,0.07999999999895593,6.620094307556682,
mass,1.0,0.33444444446,782.5183701316577,0.06551724137931035,4.5e-06,1.0,0.08,9.81,0.16,0.18,2,0.18,0.004,0.03,True,0.16000000529640096,0.012350264197749535,0.028906141306975625,0.08000000502308902,6.6200926057042615,
mass,1.0,0.33444444446,782.5183701316577,0.06551724137931035,4.5e-06,1.0,0.08,9.81,0.16,0.18,3,0.18,0.01,0.03,True,0.1599999900277159,0.012337187521835598,0.028918036646128128,0.07999999999991284,6.62009430767951,
mass,1.0,0.33444444446,782.5183701316577,0.08103448275862069,4.5e-06,1.0,0.08,9.81,0.16,0.18,0,0.12,0.004,0.03,True,0.15999999003297827,0.011525419536615041,0.030579077277689715,0.07999999999999742,6.137071687655866,
mass,1.0,0.33444444446,782.5183701316577,0.08103448275862069,4.5e-06,1.0,0.08,9.81,0.16,0.18,1,0.12,0.01,0.03,True,0.1599999900329896,0.011525419536616026,0.030579077277689378,0.07999999999999999,6.137071687656146,
mass,1.0,0.33444444446,782.5183701316577,0.08103448275862069,4.5e-06,1.0,0.08,9.81,0.16,0.18,2,0.18,0.004,0.03,True,0.17110169721337815,0.004246411290597373,0.055903034934638475,0.08000000433185389,4.374730145037827,
mass,1.0,0.33444444446,782.5183701316577,0.08103448275862069,4.5e-06,1.0,0.08,9.81,0.16,0.18,3,0.18,0.01,0.03,True,0.15999999003254484,0.011525419536695843,0.030579077277587588,0.07999999999999308,6.137071687656636,
mass,1.0,0.33444444446,782.5183701316577,0.09655172413793103,4.5e-06,1.0,0.08,9.81,0.16,0.18,0,0.12,0.004,0.03,True,0.15999999003758336,0.01089884442708204,0.032036027618424875,0.08000000000000002,5.763393617319753,
mass,1.0,0.33444444446,782.5183701316577,0.09655172413793103,4.5e-06,1.0,0.08,9.81,0.16,0.18,1,0.12,0.01,0.03,True,0.15999999045272875,0.010898844358991406,0.03203602771385426,0.07999999999997925,5.763393616206831,
mass,1.0,0.33444444446,782.5183701316577,0.09655172413793103,4.5e-06,1.0,0.08,9.81,0.16,0.18,2,0.18,0.004,0.03,True,0.1600000217310965,0.01089883923032935,0.03203603490222205,0.0799999999999989,5.763393532536515,
mass,1.0,0.33444444446,782.5183701316577,0.09655172413793103,4.5e-06,1.0,0.08,9.81,0.16,0.18,3,0.18,0.01,0.03,True,0.15999999003537507,0.010898844428257953,0.032036027616298084,0.0799999999887935,5.763393615993352,
mass,1.0,0.33444444446,782.5183701316577,0.11206896551724138,4.5e-06,1.0,0.08,9.81,0.16,0.18,0,0.12,0.004,0.03,True,0.15999999004175852,0.010393562859412779,0.03334319411747836,0.0799999999999292,5.461965534165653,
mass,1.0,0.33444444446,782.5183701316577,0.11206896551724138,4.5e-06,1.0,0.08,9.81,0.16,0.18,1,0.12,0.01,0.03,True,0.15999999004209234,0.010393562859443128,0.03334319411746263,0.07999999999999968,5.461965534172474,
mass,1.0,0.33444444446,782.5183701316577,0.11206896551724138,4.5e-06,1.0,0.08,9.81,0.16,0.18,2,0.18,0.004,0.03,True,0.16000000396202382,0.01041761139865365,0.0333141976543295,0.07999996505166145,5.46195427364983,
mass,1.0,0.33444444446,782.5183701316577,0.11206896551724138,4.5e-06,1.0,0.08,9.81,0.16,0.18,3,0.18,0.01,0.03,True,0.1599999900408004,0.010393562859633188,0.033343194117051056,0.07999999999819285,5.461965533972214,
mass,1.0,0.33444444446,782.5183701316577,0.12758620689655173,4.5e-06,1.0,0.08,9.81,0.16,0.18,0,0.12,0.004,0.03,True,0.1599999900465478,0.009973164085901985,0.034535043366511184,0.0799999999999994,5.211398240911269,
mass,1.0,0.33444444446,782.5183701316577,0.12758620689655173,4.5e-06,1.0,0.08,9.81,0.16,0.18,1,0.12,0.01,0.03,True,0.16000000871629258,0.009973161962396027,0.03453504703561701,0.08000000000876051,5.211398201382971,
mass,1.0,0.33444444446,782.5183701316577,0.12758620689655173,4.5e-06,1.0,0.08,9.81,0.16,0.18,2,0.18,0.004,0.03,True,0.18000000886871997,0.0009999927342202715,0.20237992971034685,0.08000000478437747,1.1567961353647171,
mass,1.0,0.33444444446,782.5183701316577,0.12758620689655173,4.5e-06,1.0,0.08,9.81,0.16,0.18,3,0.18,0.01,0.03,True,0.15999999004598142,0.009973164085967387,0.03453504336639868,0.07999999999999997,5.211398240912533,
mass,1.0,0.33444444446,782.5183701316577,0.14310344827586208,4.5e-06,1.0,0.08,9.81,0.16,0.18,0,0.12,0.004,0.03,True,0.15999999005095983,0.009615105228913646,0.035634950196594545,0.08000000000000003,4.998333170783851,
mass,1.0,0.33444444446,782.5183701316577,0.14310344827586208,4.5e-06,1.0,0.08,9.81,0.16,0.18,1,0.12,0.01,0.03,True,0.15999999005031174,0.009615105228870484,0.03563495019661656,0.07999999999994538,4.998333170779784,
mass,1.0,0.33444444446,782.5183701316577,0.14310344827586208,4.5e-06,1.0,0.08,9.81,0.16,0.18,2,0.18,0.004,0.03,True,0.15999999004826043,0.009615105228820626,0.035634950196563715,0.07999999999969436,4.9983331707589524,
mass,1.0,0.33444444446,782.5183701316577,0.14310344827586208,4.5e-06,1.0,0.08,9.81,0.16,0.18,3,0.18,0.01,0.03,True,0.15999999005034102,0.009615105228974062,0.035634950196480254,0.08000000000000002,4.998333170785073,
