sweep_type,motor_scale,tau_max,w_max,m,I,I_ratio,stroke,g,L_min,L_max,guess_idx,guess_L,guess_r,guess_T,success,opt_L,opt_r,opt_T,y_final,ydot_final,error
mass,1.0,0.33444444446,782.5183701316577,0.05,4.5e-06,1.0,0.05,9.81,0.1,0.18,0,0.12,0.004,0.03,True,0.09999999001079633,0.011443671719241657,0.021295821576789293,0.049999999994358696,6.293357579519265,
mass,1.0,0.33444444446,782.5183701316577,0.05,4.5e-06,1.0,0.05,9.81,0.1,0.18,1,0.12,0.01,0.03,True,0.09999999001076201,0.011443671719433637,0.021295821577010876,0.049999999999940176,6.293357580659779,
mass,1.0,0.33444444446,782.5183701316577,0.05,4.5e-06,1.0,0.05,9.81,0.1,0.18,2,0.18,0.004,0.03,True,0.09999999154966167,0.01146501723611398,0.021279521248648195,0.05000000500017809,6.2933523699478044,
mass,1.0,0.33444444446,782.5183701316577,0.05,4.5e-06,1.0,0.05,9.81,0.1,0.18,3,0.18,0.01,0.03,True,0.09999999369397156,0.011443668953008107,0.021295823896117755,0.04999999999726196,6.293357550985062,
mass,1.0,0.33444444446,782.5183701316577,0.06551724137931035,4.5e-06,1.0,0.05,9.81,0.1,0.18,0,0.12,0.004,0.03,True,0.09999999001259836,0.010439251203522059,0.02280270339879411,0.04999999999979634,5.730361102927311,
mass,1.0,0.33444444446,782.5183701316577,0.06551724137931035,4.5e-06,1.0,0.05,9.81,0.1,0.18,1,0.12,0.01,0.03,True,0.09999999001269885,0.010439251203532951,0.022802703398799536,0.049999999999924244,5.730361102950114,
mass,1.0,0.33444444446,782.5183701316577,0.06551724137931035,4.5e-06,1.0,0.05,9.81,0.1,0.18,2,0.18,0.004,0.03,True,0.0999999913088831,0.010439250451127565,0.02280270414208928,0.04999999998724722,5.730361091904615,
mass,1.0,0.33444444446,782.5183701316577,0.06551724137931035,4.5e-06,1.0,0.05,9.81,0.1,0.18,3,0.18,0.01,0.03,True,0.09999999030205307,0.010439251036268095,0.022802703563697277,0.04999999999126777,5.730361099503625,
mass,1.0,0.33444444446,782.5183701316577,0.08103448275862069,4.5e-06,1.0,0.05,9.81,0.1,0.18,0,0.12,0.004,0.03,True,0.09999999008857653,0.009720261104326885,0.024072539587628342,0.04999999999008222,5.319853875534932,
mass,1.0,0.33444444446,782.5183701316577,0.08103448275862069,4.5e-06,1.0,0.05,9.81,0.1,0.18,1,0.12,0.01,0.03,True,0.10000009096319028,0.009720214060569252,0.024072592708537573,0.0499999999987119,5.319853286259032,
mass,1.0,0.33444444446,782.5183701316577,0.08103448275862069,4.5e-06,1.0,0.05,9.81,0.1,0.18,2,0.18,0.004,0.03,True,0.09999999009127572,0.009738007953182819,0.024054840861820734,0.050000001426111364,5.3198490936713005,
mass,1.0,0.33444444446,782.5183701316577,0.08103448275862069,4.5e-06,1.0,0.05,9.81,0.1,0.18,3,0.18,0.01,0.03,True,0.09999999000744651,0.009720261110646894,0.024072539576734747,0.04999999999999284,5.319853878454698,
mass,1.0,0.33444444446,782.5183701316577,0.09655172413793103,4.5e-06,1.0,0.05,9.81,0.1,0.18,0,0.12,0.004,0.03,True,0.09999999091708678,0.0091696803270853,0.025180669430350595,0.049999999991166943,5.001559989748694,
mass,1.0,0.33444444446,782.5183701316577,0.09655172413793103,4.5e-06,1.0,0.05,9.81,0.1,0.18,1,0.12,0.01,0.03,True,0.09999999001639806,0.009169680704822405,0.025180668959049406,0.050000000000019744,5.001559995331947,
mass,1.0,0.33444444446,782.5183701316577,0.09655172413793103,4.5e-06,1.0,0.05,9.81,0.1,0.18,2,0.18,0.004,0.03,True,0.09999999103517819,0.009169680302347149,0.025180669463581985,0.049999999976286034,5.001559986158654,
mass,1.0,0.33444444446,782.5183701316577,0.09655172413793103,4.5e-06,1.0,0.05,9.81,0.1,0.18,3,0.18,0.01,0.03,True,0.09999999047592868,0.009169680524830411,0.025180669185668195,0.04999999999869787,5.001559992700968,
mass,1.0,0.33444444446,782.5183701316577,0.11206896551724138,4.5e-06,1.0,0.05,9.81,0.1,0.18,0,0.12,0.004,0.03,True,0.09999999112213893,0.0087286710407713,0.02617050829629001,0.0499999999982372,4.744364301621268,
mass,1.0,0.33444444446,782.5183701316577,0.11206896551724138,4.5e-06,1.0,0.05,9.81,0.1,0.18,1,0.12,0.01,0.03,True,0.09999999001802909,0.008728671415995032,0.02617050777768619,0.049999999999977486,4.744364307156965,
mass,1.0,0.33444444446,782.5183701316577,0.11206896551724138,4.5e-06,1.0,0.05,9.81,0.1,0.18,2,0.18,0.004,0.03,True,0.1799999953697122,0.001000182203408548,0.1698807390530526,0.05000000294788301,0.7457703138825739,
mass,1.0,0.33444444446,782.5183701316577,0.11206896551724138,4.5e-06,1.0,0.05,9.81,0.1,0.18,3,0.18,0.01,0.03,True,0.09999999000196984,0.008728671418080671,0.026170507773862327,0.049999999996450835,4.744364306701873,
mass,1.0,0.33444444446,782.5183701316577,0.12758620689655173,4.5e-06,1.0,0.05,9.81,0.1,0.18,0,0.12,0.004,0.03,True,0.09999999511925624,0.008363888160239674,0.02706955395575721,0.04999999999861523,4.530275209180297,
mass,1.0,0.33444444446,782.5183701316577,0.12758620689655173,4.5e-06,1.0,0.05,9.81,0.1,0.18,1,0.12,0.01,0.03,True,0.09999999047780765,0.008363889532779315,0.02706955189256515,0.04999999999978936,4.5302752294408,
mass,1.0,0.33444444446,782.5183701316577,0.12758620689655173,4.5e-06,1.0,0.05,9.81,0.1,0.18,2,0.18,0.004,0.03,True,0.09999999138243335,0.00836388926502378,0.02706955229440188,0.04999999999264407,4.530275224476489,
mass,1.0,0.33444444446,782.5183701316577,0.12758620689655173,4.5e-06,1.0,0.05,9.81,0.1,0.18,3,0.18,0.01,0.03,True,0.09999999031625771,0.008363889580620856,0.02706955182073818,0.050000000000397234,4.530275230228409,
mass,1.0,0.33444444446,782.5183701316577,0.14310344827586208,4.5e-06,1.0,0.05,9.81,0.1,0.18,0,0.12,0.004,0.03,True,0.09999999002145246,0.008054794520971426,0.027896406937750754,0.04999999999999672,4.348029964196656,
mass,1.0,0.33444444446,782.5183701316577,0.14310344827586208,4.5e-06,1.0,0.05,9.81,0.1,0.18,1,0.12,0.01,0.03,True,0.09999999002113033,0.00805479452093046,0.027896406937779165,0.049999999999936734,4.348029964189711,
mass,1.0,0.33444444446,782.5183701316577,0.14310344827586208,4.5e-06,1.0,0.05,9.81,0.1,0.18,2,0.18,0.004,0.03,True,0.09999999001099431,0.008070267785950637,0.027875392209314193,0.050000004999766846,4.3480261702888825,
mass,1.0,0.33444444446,782.5183701316577,0.14310344827586208,4.5e-06,1.0,0.05,9.81,0.1,0.18,3,0.18,0.01,0.03,True,0.09999999001093006,0.008054794523739167,0.02789640693327013,0.04999999999999629,4.348029964238645,
mass,1.0,0.33444444446,782.5183701316577,0.1586206896551724,4.5e-06,1.0,0.05,9.81,0.1,0.18,0,0.12,0.004,0.03,True,0.099999994558269,0.007787924044030623,0.028664302048913175,0.04999999986682199,4.190150139101397,
mass,1.0,0.33444444446,782.5183701316577,0.1586206896551724,4.5e-06,1.0,0.05,9.81,0.1,0.18,1,0.12,0.01,0.03,True,0.09999999346374963,0.007787924271863649,0.028664301656753557,0.049999999999900756,4.190150162703152,
mass,1.0,0.33444444446,782.5183701316577,0.1586206896551724,4.5e-06,1.0,0.05,9.81,0.1,0.18,2,0.18,0.004,0.03,True,0.0999999900117613,0.007787925084262764,0.028664300248830765,0.049999999999998684,4.190150175548645,
mass,1.0,0.33444444446,782.5183701316577,0.1586206896551724,4.5e-06,1.0,0.05,9.81,0.1,0.18,3,0.18,0.01,0.03,True,0.09999999001176108,0.007787925084263614,0.028664300248829613,0.04999999999999977,4.190150175548763,
mass,1.0,0.33444444446,782.5183701316577,0.17413793103448277,4.5e-06,1.0,0.05,9.81,0.1,0.18,0,0.12,0.004,0.03,True,0.09999999211413448,0.007554028699876326,0.029383000519084414,0.049999999963490915,4.051439012697016,
mass,1.0,0.33444444446,782.5183701316577,0.17413793103448277,4.5e-06,1.0,0.05,9.81,0.1,0.18,1,0.12,0.01,0.03,True,0.09999999701216017,0.007554027620911941,0.02938300249521018,0.04999999994261338,4.051438994343727,
mass,1.0,0.33444444446,782.5183701316577,0.17413793103448277,4.5e-06,1.0,0.05,9.81,0.1,0.18,2,0.18,0.004,0.03,True,0.0999999900123168,0.007554029135149367,0.029382999715286736,0.04999999999998112,4.051439025253507,
mass,1.0,0.33444444446,782.5183701316577,0.17413793103448277,4.5e-06,1.0,0.05,9.81,0.1,0.18,3,0.18,0.01,0.03,True,0.09999999001257387,0.0075540291351692485,0.02938299971527667,0.049999999999999975,4.051439025255003,
mass,1.0,0.33444444446,782.5183701316577,0.1896551724137931,4.5e-06,1.0,0.05,9.81,0.1,0.18,0,0.12,0.004,0.03,True,0.09999999002623973,0.007346501083774378,0.0300599420482463,0.04999999999999975,3.928151601984713,
mass,1.0,0.33444444446,782.5183701316577,0.1896551724137931,4.5e-06,1.0,0.05,9.81,0.1,0.18,1,0.12,0.01,0.03,True,0.09999999090103978,0.007346500913755192,0.030059942380344776,0.049999999998685096,3.928151598978844,
