sweep_type,motor_scale,tau_max,w_max,m,I,I_ratio,stroke,g,L_min,L_max,guess_idx,guess_L,guess_r,guess_T,success,opt_L,opt_r,opt_T,y_final,ydot_final,error
mass,0.5,0.16722222223,391.25918506582883,0.05,4.5e-06,1.0,0.08,9.81,0.16,0.18,0,0.12,0.004,0.03,True,0.15999999001412002,0.015000009994467467,0.04136774447844687,0.08000000499924013,4.398641586517143,
mass,0.5,0.16722222223,391.25918506582883,0.05,4.5e-06,1.0,0.08,9.81,0.16,0.18,1,0.12,0.01,0.03,True,0.16000004720661531,0.015000000608411189,0.04136775832673863,0.07999999999582226,4.39864108479847,
mass,0.5,0.16722222223,391.25918506582883,0.05,4.5e-06,1.0,0.08,9.81,0.16,0.18,2,0.18,0.004,0.03,True,0.1599999954289091,0.015000009288340235,0.041367745682149897,0.08000000499985754,4.398641553093958,
mass,0.5,0.16722222223,391.25918506582883,0.05,4.5e-06,1.0,0.08,9.81,0.16,0.18,3,0.18,0.01,0.03,True,0.1799999656291179,0.0012576713710002192,0.31540420150154236,0.07999987499528095,0.7303557759904655,
mass,0.5,0.16722222223,391.25918506582883,0.06551724137931035,4.5e-06,1.0,0.08,9.81,0.16,0.18,0,0.12,0.004,0.03,True,0.16000000523495678,0.01500000610076486,0.04310068099348352,0.07999999999842249,3.9952768827414724,
mass,0.5,0.16722222223,391.25918506582883,0.06551724137931035,4.5e-06,1.0,0.08,9.81,0.16,0.18,1,0.12,0.01,0.03,True,0.16000038361113253,0.014999909281900696,0.04310081164350389,0.08000000000000003,3.9952754940501625,
mass,0.5,0.16722222223,391.25918506582883,0.06551724137931035,4.5e-06,1.0,0.08,9.81,0.16,0.18,2,0.18,0.004,0.03,True,0.15999999372304602,0.01500000904714544,0.043100677017903856,0.07999999999992177,3.995276925119856,
mass,0.5,0.16722222223,391.25918506582883,0.06551724137931035,4.5e-06,1.0,0.08,9.81,0.16,0.18,3,0.18,0.01,0.03,True,0.1599999900414723,0.014999991007617071,0.04310069796149811,0.08000000472428591,3.995276868049204,
mass,0.5,0.16722222223,391.25918506582883,0.08103448275862069,4.5e-06,1.0,0.08,9.81,0.16,0.18,0,0.12,0.004,0.03,True,0.159999990051148,0.014776182933248309,0.0449391326555775,0.07999999999998635,3.6908967873828167,
mass,0.5,0.16722222223,391.25918506582883,0.08103448275862069,4.5e-06,1.0,0.08,9.81,0.16,0.18,1,0.12,0.01,0.03,True,0.15999999005551807,0.014776182827692575,0.044939132767386175,0.07999999997537253,3.6908967855631114,
mass,0.5,0.16722222223,391.25918506582883,0.08103448275862069,4.5e-06,1.0,0.08,9.81,0.16,0.18,2,0.18,0.004,0.03,False,nan,nan,nan,nan,nan,Error in Opti::solve [OptiNode] at .../casadi/core
mass,0.5,0.16722222223,391.25918506582883,0.08103448275862069,4.5e-06,1.0,0.08,9.81,0.16,0.18,3,0.18,0.01,0.03,True,0.15999999006040236,0.014776182731349351,0.04493913286910834,0.07999999994855907,3.6908967835633444,
