scope,friction_nm,rmse_m_s
common,0.050238389964631903,0.21446369151917619
r5,0.04600719894125489,0.1123268841568624
r7,0.057138542342102076,0.18957225014724363
r9,0.04038301361591175,0.11739877141714401
r11,0.058103822711421366,0.1830743760013674
