radius_mm,payload_mass_g,model_velocity_m_s,effective_kinetic_mass_kg,model_max_kinetic_energy_j,common_loss_nm
5,20.0,6.8068335674426,0.03246621621621622,0.7521283254980351,0.0502383899646319
5,30.0,6.339449336378792,0.04246621621621622,0.8533292683422545,0.0502383899646319
5,40.0,5.97005426442545,0.052466216216216215,0.9349885797305156,0.0502383899646319
5,50.0,5.667530279491861,0.06246621621621622,1.0032355256436092,0.0502383899646319
5,60.0,5.413149702114859,0.07246621621621621,1.0617094071140334,0.0502383899646319
5,70.0,5.194857707728091,0.0824662162162162,1.112739193568343,0.0502383899646319
5,80.0,5.0044855329089195,0.09246621621621622,1.1579024341920965,0.0502383899646319
5,90.0,4.836268368926299,0.10246621621621621,1.198316358718383,0.0502383899646319
5,100.0,4.686001783366687,0.1124662162162162,1.234801042634456,0.0502383899646319
5,110.0,4.550534717701036,0.12246621621621621,1.2679763941998965,0.0502383899646319
5,120.0,4.427450843981637,0.13246621621621624,1.2983226443648788,0.0502383899646319
5,130.0,4.314860672384341,0.14246621621621622,1.3262196181984711,0.0502383899646319
5,140.0,4.2112615381085625,0.15246621621621623,1.3519731123181895,0.0502383899646319
5,150.0,4.115440691072421,0.16246621621621624,1.3758331361665865,0.0502383899646319
5,160.0,4.026406605192094,0.17246621621621622,1.3980068499570568,0.0502383899646319
5,170.0,3.943339262648145,0.18246621621621623,1.418667946661983,0.0502383899646319
5,180.0,3.8655535002741126,0.19246621621621623,1.437963589700233,0.0502383899646319
5,190.0,3.792471537147711,0.20246621621621622,1.456019633073186,0.0502383899646319
5,200.0,3.7236020768856073,0.21246621621621622,1.4729446106979736,0.0502383899646319
5,210.0,3.658524197647468,0.22246621621621623,1.4888328280730398,0.0502383899646319
5,220.0,3.5968747817616817,0.23246621621621621,1.5037667887572115,0.0502383899646319
7,20.0,7.457851245733723,0.03246621621621622,0.9028780902120922,0.0502383899646319
7,30.0,6.8324541329558715,0.04246621621621622,0.9912130718755885,0.0502383899646319
7,40.0,6.357497308763504,0.052466216216216215,1.0602837831763912,0.0502383899646319
7,50.0,5.979336235525214,0.06246621621621622,1.1166605050758867,0.0502383899646319
7,60.0,5.667970917771017,0.07246621621621621,1.16402100213644,0.0502383899646319
7,70.0,5.405099672805865,0.0824662162162162,1.2046294786572664,0.0502383899646319
7,80.0,5.178818861232577,0.09246621621621622,1.2399795785581644,0.0502383899646319
7,90.0,4.980995447388713,0.10246621621621621,1.2711095837342765,0.0502383899646319
7,100.0,4.805851193394013,0.1124662162162162,1.2987714316241947,0.0502383899646319
7,110.0,4.649148285461798,0.12246621621621621,1.3235279003930718,0.0502383899646319
7,120.0,4.5076956187773325,0.13246621621621624,1.3458117044365785,0.0502383899646319
7,130.0,4.379036233854972,0.14246621621621622,1.3659631133256411,0.0502383899646319
7,140.0,4.261242116158782,0.15246621621621623,1.3842548323176862,0.0502383899646319
7,150.0,4.152775248643158,0.16246621621621624,1.4009089992560684,0.0502383899646319
7,160.0,4.052390983824459,0.17246621621621622,1.4161091226506068,0.0502383899646319
7,170.0,3.959069266786337,0.18246621621621623,1.4300086707635908,0.0502383899646319
7,180.0,3.871964671573757,0.19246621621621623,1.4427373826159342,0.0502383899646319
7,190.0,3.790369441737857,0.20246621621621622,1.454405991986941,0.0502383899646319
7,200.0,3.713685705137165,0.21246621621621622,1.4651098222554195,0.0502383899646319
7,210.0,3.641404280444665,0.22246621621621623,1.4749315625848682,0.0502383899646319
7,220.0,3.5730882983489463,0.23246621621621621,1.4839434404736351,0.0502383899646319
9,20.0,7.673098445827891,0.03246621621621622,0.9557476116343092,0.0502383899646319
9,30.0,6.95998632825354,0.04246621621621622,1.0285616888458036,0.0502383899646319
9,40.0,6.429380862323161,0.052466216216216215,1.084396370568746,0.0502383899646319
9,50.0,6.012788044958252,0.06246621621621622,1.1291899242579937,0.0502383899646319
9,60.0,5.673274252699254,0.07246621621621621,1.1662002939341196,0.0502383899646319
9,70.0,5.388880271035808,0.0824662162162162,1.1974107201847877,0.0502383899646319
9,80.0,5.145594831176157,0.09246621621621622,1.2241207611158362,0.0502383899646319
9,90.0,4.933986098720254,0.10246621621621621,1.2472299947336516,0.0502383899646319
9,100.0,4.747432138282911,0.1124662162162162,1.267388083452791,0.0502383899646319
9,110.0,4.581123263734199,0.12246621621621621,1.285080279493821,0.0502383899646319
9,120.0,4.431466932968456,0.13246621621621624,1.3006790992721282,0.0502383899646319
9,130.0,4.295716004515026,0.14246621621621622,1.3144770803366566,0.0502383899646319
9,140.0,4.171727414590534,0.15246621621621623,1.3267083838258347,0.0502383899646319
9,150.0,4.057800329017221,0.16246621621621624,1.3375635226422034,0.0502383899646319
9,160.0,3.952564516755834,0.17246621621621622,1.347199691770164,0.0502383899646319
9,170.0,3.8549014683544756,0.18246621621621623,1.3557481934328848,0.0502383899646319
9,180.0,3.7638874543082452,0.19246621621621623,1.3633198891094296,0.0502383899646319
9,190.0,3.678751640187519,0.20246621621621622,1.3700092784743731,0.0502383899646319
9,200.0,3.5988447565720554,0.21246621621621622,1.3758976021386478,0.0502383899646319
9,210.0,3.523615309462562,0.22246621621621623,1.381055237013258,0.0502383899646319
9,220.0,3.4525912701691914,0.23246621621621621,1.385543570286429,0.0502383899646319
11,20.0,7.6848560095702805,0.03246621621621622,0.958678858516945,0.0502383899646319
11,30.0,6.924364660721606,0.04246621621621622,1.0180601389357324,0.0502383899646319
11,40.0,6.365063626312969,0.052466216216216215,1.0628090591853083,0.0502383899646319
11,50.0,5.929401516813351,0.06246621621621622,1.0980874415657276,0.0502383899646319
11,60.0,5.576391226296622,0.07246621621621621,1.1267097700709459,0.0502383899646319
11,70.0,5.282000556897563,0.0824662162162162,1.1503843318338596,0.0502383899646319
11,80.0,5.031052304914295,0.09246621621621622,1.1702287284767274,0.0502383899646319
11,90.0,4.8134103487705024,0.10246621621621621,1.1870157413864761,0.0502383899646319
11,100.0,4.6220030229161395,0.1124662162162162,1.2013029368422823,0.0502383899646319
11,110.0,4.451720405062672,0.12246621621621621,1.2135063817159828,0.0502383899646319
11,120.0,4.298762093885501,0.13246621621621624,1.223945153237519,0.0502383899646319
11,130.0,4.160232617993623,0.14246621621621622,1.2328695427845409,0.0502383899646319
11,140.0,4.033880319987238,0.15246621621621623,1.2404796526618125,0.0502383899646319
11,150.0,3.9179231027635955,0.16246621621621624,1.2469380743405807,0.0502383899646319
