radius_mm,fixture_height_px,fixture_height_std_px,videos_used,pixels_per_meter,old_to_corrected_factor
5,494.0,0.5361902647381804,20,10739.130434782608,0.9944939271255061
7,496.0,1.6575584454250776,20,10782.608695652174,0.9904838709677419
9,532.0,2.6810834781446187,21,11565.217391304348,0.9234586466165413
11,514.0,1.1507662831994832,21,11173.913043478262,0.9557976653696497
