time_us,time_ms,angle,vel,vbat,set_volts
1123,1.123,0.0,0.0080413818359375,8.258331298828125,8.0
1964,1.964,0.0,0.0037384033203125,8.257064819335938,8.0
2805,2.805,0.03710317611694336,12.832901000976562,7.77862548828125,8.0
3726,3.726,0.18896722793579102,62.45268249511719,7.1634063720703125,8.0
4677,4.677,0.43363720178604126,127.29264831542969,7.1634063720703125,8.0
5605,5.605,0.7372695207595825,190.21578979492188,6.96868896484375,8.0
6536,6.536,1.1248873472213745,260.9095153808594,6.859405517578125,8.0
7511,7.511,1.5659067630767822,325.05859375,6.7479400634765625,8.0
8506,8.506,2.0795986652374268,391.941162109375,6.6821136474609375,8.0
9466,9.466,2.6539785861968994,456.645263671875,6.6993255615234375,8.0
10496,10.496,3.28377366065979,518.17431640625,6.7270050048828125,8.0
11452,11.452,3.974735975265503,580.0774536132812,6.67095947265625,8.0
12411,12.411,4.710279941558838,580.0774536132812,6.6054229736328125,8.0
13334,13.334,5.479763031005859,635.6714477539062,6.59100341796875,8.0
14293,14.293,6.272255897521973,682.9375,6.6002044677734375,8.0
15216,15.216,6.272255897521973,721.7100830078125,6.622283935546875,8.0
16206,16.206,7.059187889099121,745.524658203125,6.6188812255859375,8.0
17130,17.13,7.847558498382568,759.9362182617188,6.6041412353515625,8.0
17983,17.983,8.638805389404297,771.1831665039062,6.6003265380859375,8.0
18847,18.847,9.440214157104492,781.4552001953125,6.59869384765625,8.0
19740,19.74,10.248717308044434,790.8516845703125,6.5909423828125,8.0
20657,20.657,11.054058074951172,796.0455322265625,6.5868072509765625,8.0
21623,21.623,11.860836029052734,799.5532836914062,6.5868072509765625,8.0
22553,22.553,12.660423278808594,799.0499267578125,6.5854644775390625,8.0
23481,23.481,13.4595308303833,798.6639404296875,6.568389892578125,8.0
24435,24.435,14.294975280761719,811.8931884765625,6.5463409423828125,8.0
25396,25.396,15.160812377929688,811.8931884765625,6.584014892578125,8.0
26342,26.342,16.044864654541016,831.4457397460938,6.6544952392578125,8.0
27334,27.334,16.901592254638672,850.1038208007812,6.6890869140625,8.0
28326,28.326,17.70175552368164,852.5477294921875,6.6669769287109375,8.0
29359,29.359,18.465869903564453,809.6477661132812,6.5835113525390625,0.0
30358,30.358,19.120975494384766,809.6477661132812,6.48492431640625,0.0
31149,31.149,19.120975494384766,761.5291748046875,6.601318359375,0.0
31862,31.862,19.639556884765625,669.63232421875,7.2236175537109375,0.0
32664,32.664,19.924301147460938,539.44677734375,7.7780303955078125,0.0
33433,33.433,20.08086395263672,539.44677734375,7.7780303955078125,0.0
34227,34.227,20.08086395263672,401.31781005859375,7.9200439453125,0.0
34928,34.928,20.166095733642578,288.31085205078125,8.000961303710938,0.0
35722,35.722,20.214895248413086,202.9313507080078,8.055206298828125,0.0
36479,36.479,20.23617935180664,202.9313507080078,8.055206298828125,0.0
37344,37.344,20.220935821533203,138.1422119140625,8.091140747070312,0.0
38156,38.156,20.220935821533203,83.21685791015625,8.1170654296875,0.0
38869,38.869,20.166095733642578,33.53205871582031,8.132568359375,0.0
39698,39.698,20.097640991210938,-3.63507080078125,8.150634765625,0.0
40467,40.467,20.023147583007812,-3.63507080078125,8.150634765625,0.0
41261,41.261,20.023147583007812,-28.632064819335938,8.167251586914062,0.0
41953,41.953,19.95018768310547,-44.30934143066406,8.173660278320312,0.0
42798,42.798,19.892375946044922,-49.09825134277344,8.179458618164062,0.0
43556,43.556,19.84817886352539,-47.61143493652344,8.179458618164062,0.0
44342,44.342,19.813087463378906,-47.61143493652344,8.18359375,0.0
45186,45.186,19.813087463378906,-42.99971008300781,8.188232421875,0.0
45896,45.896,19.784038543701172,-37.962310791015625,8.189956665039062,0.0
46655,46.655,19.754987716674805,-34.72331237792969,8.193740844726562,0.0
47416,47.416,19.721240997314453,-34.72331237792969,8.193740844726562,0.0
48198,48.198,19.721240997314453,-34.43098449707031,8.200515747070312,0.0
48909,48.909,19.678194046020508,-37.08390808105469,8.203094482421875,0.0
49682,49.682,19.63025665283203,-41.521820068359375,8.20367431640625,0.0
50440,50.44,19.582128524780273,-43.26307678222656,8.20367431640625,0.0
51209,51.209,19.582128524780273,-43.26307678222656,8.208038330078125,0.0
51916,51.916,19.541574478149414,-42.716400146484375,8.211898803710938,0.0
52719,52.719,19.504087448120117,-40.79020690917969,8.209060668945312,0.0
53427,53.427,19.472736358642578,-40.79020690917969,8.209060668945312,0.0
54212,54.212,19.472736358642578,-37.40509033203125,8.209274291992188,0.0
55000,55.0,19.446083068847656,-33.51329040527344,8.211990356445312,0.0
